#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	NveB E(PSI)	Mono E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
SLC9A3R1	ENSG00000109062	ENSG00000109062:s:74748628-74749287	-0.23000931661459062;0.05313804387669718;0.1370029418496696	0.6548212768978662;5.993256513840707e-06;0.2891139899613634	8.240766908085284e-06;5.570211480014457e-05;1.2180455890466527e-05	0.828;0.012;0.160	0.560;0.095;0.344	s|1e1.2o2|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;1	chr17	+	74749287-74762012;74749287-74766936;74749287-74768147	74748628-74749287;74762003-74762173;74766936-74766976;74768147-74768236		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A74768236-74748628
SLC9A3R1	ENSG00000109062	ENSG00000109062:t:74766936-74766976	0.05698782561643691;0.348924784468593;-0.5240076096376635;0.05022282375028045	3.3592486680324293e-08;0.9639949999216966;0.9998467269253035;0.00031191914327341914	2.510486499917645e-05;1.7959164237949438e-07;8.944796681120692e-09;7.731709128390093e-06	0.006;0.173;0.773;0.048	0.092;0.537;0.256;0.115	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	0;1;0;0	chr17	+	74749287-74766936;74763520-74766936;74764646-74766936;74763521-74766935	nan-74764646;74748628-74749287;74763030-74763520;74766936-74766976	74763521-74766935	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A74766976-74748628
VPS29	ENSG00000111237	ENSG00000111237:s:110499457-110499546	0.02264075257683479;0.29530633068946344;-3.353754844888262e-06;-0.00028397806934061425;-0.3185506542857466	0.0003679138503936634;0.9509389768711582;7.941818087474002e-21;7.974720951431029e-21;0.9497307590460496	2.0661675322698747e-05;4.142656882453588e-09;0.04876752847728938;0.0029138303029387913;5.225152033272451e-08	0.112;0.032;0.002;0.012;0.841	0.151;0.334;0.002;0.002;0.512	s|1e1.1o1|1e2.2o2|2e3.1o1|2e4.2o2|i	True	False	True	5	5	1;1;1;1;1	chr12	-	110498859-110499535;110496203-110499535;110498859-110499457;110496203-110499457;110498860-110499456	110496012-110496217;110498796-110498859;110499457-110499546	110498860-110499456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A110499546-110496012
VPS29	ENSG00000111237	ENSG00000111237:s:110502049-110502111	-0.00692182114195279;-0.04609410336646366;-9.919995954542327e-05;-0.08681863357486112;0.20739074430416746	0.00025424349906173874;0.08041481806685002;7.4222002982688015e-06;0.09198962521445125;0.5266989487355241	0.00011273033391701048;2.78002384817011e-05;0.00021836119998186465;1.629822444371154e-05;1.3161206905941414e-05	0.041;0.559;0.007;0.179;0.214	0.006;0.443;0.006;0.038;0.507	s|1e1.1o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.2o2	False	False	True	5	6	1;1;1;1;1	chr12	-	110501559-110502049;110499546-110502049;110498859-110502049;110497002-110502049;110496203-110502049	110496012-110496217;110496298-110497002;110498796-110498859;110499457-110499546;110501417-110501559;110502049-110502111		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A110502111-110496012
CPSF6	ENSG00000111605	ENSG00000111605:s:69262373-69262562	0.24540987024117944;-0.24540985876290433	0.7997099735071242;0.7997099511956876	1.3367628381317428e-08;1.3367732698554846e-08	0.670;0.330	0.920;0.080	s|1e1.1o1|i	False	False	False	2	2	1;0	chr12	+	69262562-69269512;69262563-69269511	69262373-69262562;69269512-69274358	69262563-69269511	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A69274358-69262373
THUMPD3	ENSG00000134077	ENSG00000134077:s:9365016-9365436	0.21564745642859426;-0.08611757154204375;-0.07406691825338281	0.5788627402262347;0.10524541918101352;0.05718600808697037	1.167094189468993e-06;3.9103296189946235e-06;4.37175081124952e-06	0.346;0.390;0.264	0.607;0.248;0.145	s|1e1.1o1|2e1.1o1|i	True	False	False	3	2	1;0;0	chr3	+	9365320-9366908;9365436-9366908;9365437-9366907	9365016-9365436;9366908-9366985	9365437-9366907	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A9366985-9365016
MARCHF7	ENSG00000136536	ENSG00000136536:t:159767284-159771027	3.803015774460313e-07;0.20127295196510947;-0.20143262474095816	7.940916971115338e-21;0.5213108568244967;0.522164205259609	0.2810086297943216;4.598663081565501e-07;4.5473070164891993e-07	0.003;0.561;0.436	0.003;0.783;0.215	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr2	+	159762993-159767284;159764674-159767284;159764675-159767283	159762880-159762993;159764626-159764674;159767284-159771027	159764675-159767283	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A159771027-159762880
MAP11	ENSG00000146826	ENSG00000146826:s:100157293-100157459	-0.21114609681212793;0.21114612309708555	0.568685734700425;0.5686858862046404	2.6966282596907476e-06;2.696456571339064e-06	0.834;0.166	0.606;0.394	s|1e1.1o3|2e1.1o3	True	False	False	2	2	1;1	chr7	-	100157214-100157373;100157214-100157293	100157094-100157214;100157293-100157459		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100157459-100157094
AASDHPPT	ENSG00000149313	ENSG00000149313:s:106079467-106079692	0.28028692731028076;-0.2802869370041058	0.7239552414412093;0.7239552505444108	1.0359916376660033e-05;1.0360520679264518e-05	0.364;0.636	0.710;0.290	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr11	+	106079692-106090557;106079692-106091316	106079467-106079692;106090557-106090678;106091316-106091459		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A106091459-106079467
ITGB1	ENSG00000150093	ENSG00000150093:s:32911448-32911670	-0.00039784473342421384;0.2537295132811969;-0.2458566315533046	3.7229723541566765e-07;0.7367032060329792;0.7077527484224027	0.0004125120448997821;5.228330199056762e-06;5.556170522669213e-06	0.008;0.284;0.708	0.001;0.569;0.430	s|1e1.1o2|2e2.1o1|2e3.1o2	True	False	True	3	4	1;1;0	chr10	-	32908534-32911527;32910455-32911448;32908534-32911448	32908368-32908534;32910223-32910455;32911448-32911670		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A32911670-32908368
RUNX1	ENSG00000159216	ENSG00000159216:s:34832961-34834601	0.16199499764499292;-0.2091688981476563;0.025231144742930135	0.1987186267379098;0.6317296418787973;3.0325056285628456e-05	2.1604775337372368e-07;5.089772783239965e-07;0.0007109184393283563	0.014;0.972;0.014	0.197;0.746;0.058	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr21	-	34821696-34834410;34799462-34834410;34829971-34832960	34799301-34799462;34821279-34821696;34832961-34834601	34829971-34832960	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A34834601-34799301
ATP1A1	ENSG00000163399	ENSG00000163399:s:116393531-116393723	0.322103991178384;-0.32210406992277585	0.9897729554404369;0.9897729550340733	2.094333040291467e-09;2.1274735306775483e-09	0.223;0.777	0.550;0.450	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr1	+	116393723-116395110;116393723-116396598	116393531-116393723;116395110-116395285;116396598-116396734		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A116396734-116393531
ATP1A1	ENSG00000163399	ENSG00000163399:t:116384014-116384124	-7.64096348264801e-07;0.23183628784075802;-7.536833138642422e-07;-0.23284014940187914;-7.64096348264801e-07	6.305627935940429e-21;0.7048387426942299;6.305634712183325e-21;0.7103037621810273;6.305627935940429e-21	0.4967229898544294;1.1427530331709874e-06;0.4964428725286882;1.1219284007379926e-06;0.4967229898544294	0.001;0.384;0.001;0.612;0.001	0.001;0.626;0.004;0.369;0.001	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1;1;1;1;1	chr1	+	116372921-116384014;116373523-116384014;116374241-116384014;116382593-116384014;116383553-116384014	116372668-116372921;116373244-116373523;116373867-116374241;116382411-116382593;116383370-116383553;116384014-116384124		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A116384124-116372668
ATP1A1	ENSG00000163399	ENSG00000163399:t:116396598-116396734	-0.26871110336002635;0.2687110860270022	0.9032348394343473;0.9032348785584584	5.5721605662917284e-08;5.569470367959826e-08	0.672;0.328	0.407;0.593	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr1	+	116393723-116396598;116395285-116396598	116393531-116393723;116395110-116395285;116396598-116396734		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A116396734-116393531
MEI1	ENSG00000167077	ENSG00000167077:s:41781399-41781845	-0.3019766730062895;0.3019766719195855	0.8062703773804075;0.8062705049152392	8.775328204424504e-06;8.77480981995634e-06	0.459;0.541	0.109;0.891	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr22	+	41781845-41784339;41781845-41793829	41781399-41781845;41784339-41784420;41793829-41793910		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A41793910-41781399
MFF	ENSG00000168958	ENSG00000168958:t:227330595-227330689	9.835457770483268e-06;0.007079395284144807;9.835457770483268e-06;0.25044312939448526;0.0005040043912883706;9.835457770483268e-06;0.006385711753418601;-0.3264221572402925	7.941486976413241e-21;1.853986928424065e-07;7.941486976413241e-21;0.744248705834438;7.989936584459087e-21;7.941486976413241e-21;1.822842334853279e-07;0.9480149468054019	0.02668264085815659;0.0002484425701473711;0.02668264085815659;4.0058352018413857e-07;0.0011870725229046048;0.02668264085815659;0.0002670828338060937;9.698687863934907e-08	0.001;0.001;0.001;0.388;0.001;0.001;0.018;0.589	0.001;0.037;0.001;0.663;0.013;0.001;0.037;0.247	t|1e1.1o2|2e2.1o1|2e3.1o2|2e4.1o2|2e5.1o3|2e5.2o3|2e5.3o3|i	True	True	True	8	6	1;1;1;1;1;1;1;0	chr2	+	227328789-227330595;227325427-227330626;227325542-227330626;227328789-227330626;227329659-227330626;227329697-227330626;227329783-227330626;227329784-227330594	227325151-227325427;227325443-227325660;227328678-227328899;227329606-227329783;227330595-227330689	227329784-227330594	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227330689-227325151
PDCD6IP	ENSG00000170248	ENSG00000170248:s:33825187-33825340	0.20980105883411604;-0.20980107424807842	0.556875229058771;0.5568750926583906	8.971121532487937e-07;8.971708399529987e-07	0.572;0.428	0.812;0.188	s|1e1.1o1|i	False	False	False	2	2	1;0	chr3	+	33825340-33826480;33825341-33826479	33825187-33825340;33826480-33826877	33825341-33826479	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A33826877-33825187
