Gene stable ID	Zebrafish gene stable ID	Zebrafish homology type	Tropical clawed frog gene stable ID	Tropical clawed frog homology type
ENSRNOG00000036571	ENSDARG00000053709	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000102234	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000079251	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000041569	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000041595	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000062376	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000017438	ENSDARG00000099732	ortholog_one2many	ENSXETG00000048596	ortholog_one2one
ENSRNOG00000017438	ENSDARG00000102564	ortholog_one2many	ENSXETG00000048596	ortholog_one2one
ENSRNOG00000017656	ENSDARG00000039937	ortholog_one2one	ENSXETG00000036492	ortholog_one2many
ENSRNOG00000017656	ENSDARG00000039937	ortholog_one2one	ENSXETG00000035736	ortholog_one2many
ENSRNOG00000017656	ENSDARG00000039937	ortholog_one2one	ENSXETG00000033025	ortholog_one2many
ENSRNOG00000017725	ENSDARG00000034667	ortholog_many2many		
ENSRNOG00000017725	ENSDARG00000005332	ortholog_many2many		
ENSRNOG00000017908				
ENSRNOG00000017982			ENSXETG00000004181	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000040059	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000046564	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000000927	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000041874	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000000931	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000041262	ortholog_one2many
ENSRNOG00000017982			ENSXETG00000032682	ortholog_one2many
ENSRNOG00000025953				
ENSRNOG00000018019	ENSDARG00000070603	ortholog_one2one	ENSXETG00000014317	ortholog_one2one
ENSRNOG00000068353	ENSDARG00000113969	ortholog_one2many	ENSXETG00000040160	ortholog_one2many
ENSRNOG00000018310	ENSDARG00000070598	ortholog_one2one	ENSXETG00000014319	ortholog_one2one
ENSRNOG00000018350	ENSDARG00000039697	ortholog_one2one	ENSXETG00000014321	ortholog_one2one
ENSRNOG00000008824	ENSDARG00000021916	ortholog_one2one	ENSXETG00000047847	ortholog_one2one
ENSRNOG00000032706	ENSDARG00000057049	ortholog_one2one		
ENSRNOG00000008890	ENSDARG00000015110	ortholog_one2one	ENSXETG00000046436	ortholog_one2one
ENSRNOG00000009460	ENSDARG00000088699	ortholog_one2one	ENSXETG00000031484	ortholog_one2one
ENSRNOG00000009482	ENSDARG00000039701	ortholog_one2one	ENSXETG00000046580	ortholog_one2one
ENSRNOG00000025154	ENSDARG00000069878	ortholog_many2many	ENSXETG00000045732	ortholog_one2many
ENSRNOG00000025154	ENSDARG00000023299	ortholog_many2many	ENSXETG00000045732	ortholog_one2many
ENSRNOG00000033843			ENSXETG00000042208	ortholog_one2many
ENSRNOG00000051496			ENSXETG00000047032	ortholog_one2many
ENSRNOG00000088299				
ENSRNOG00000083175				
ENSRNOG00000077872				
ENSRNOG00000076191				
ENSRNOG00000005850	ENSDARG00000058601	ortholog_one2one	ENSXETG00000032480	ortholog_one2one
ENSRNOG00000079597				
ENSRNOG00000086708				
ENSRNOG00000006110	ENSDARG00000058603	ortholog_one2many	ENSXETG00000011834	ortholog_one2one
ENSRNOG00000006110	ENSDARG00000038826	ortholog_one2many	ENSXETG00000011834	ortholog_one2one
ENSRNOG00000076053				
ENSRNOG00000073805				
ENSRNOG00000006608	ENSDARG00000078773	ortholog_one2one	ENSXETG00000033295	ortholog_one2one
ENSRNOG00000079356				
ENSRNOG00000083429				
ENSRNOG00000072424				
ENSRNOG00000076409	ENSDARG00000045359	ortholog_one2many	ENSXETG00000011828	ortholog_one2many
ENSRNOG00000072505				
ENSRNOG00000077867				
ENSRNOG00000062415	ENSDARG00000045360	ortholog_many2many	ENSXETG00000038178	ortholog_one2many
ENSRNOG00000062415	ENSDARG00000044923	ortholog_many2many	ENSXETG00000038178	ortholog_one2many
ENSRNOG00000073496				
ENSRNOG00000072659				
ENSRNOG00000088054				
ENSRNOG00000090898				
ENSRNOG00000073666				
ENSRNOG00000071676				
ENSRNOG00000082067				
ENSRNOG00000042458	ENSDARG00000026801	ortholog_one2one	ENSXETG00000011826	ortholog_one2one
ENSRNOG00000052677				
ENSRNOG00000086703				
ENSRNOG00000065957				
ENSRNOG00000077455				
ENSRNOG00000081605				
ENSRNOG00000085621				
ENSRNOG00000084680				
ENSRNOG00000080047				
ENSRNOG00000079244				
ENSRNOG00000073446				
ENSRNOG00000090191				
ENSRNOG00000079208				
ENSRNOG00000069669				
ENSRNOG00000087405				
ENSRNOG00000084049	ENSDARG00000007320	ortholog_one2many	ENSXETG00000025457	ortholog_one2many
ENSRNOG00000059226				
ENSRNOG00000061657			ENSXETG00000029570	ortholog_one2many
ENSRNOG00000070820				
ENSRNOG00000006681	ENSDARG00000012369	ortholog_one2many	ENSXETG00000011825	ortholog_one2one
ENSRNOG00000006681	ENSDARG00000058730	ortholog_one2many	ENSXETG00000011825	ortholog_one2one
ENSRNOG00000089178				
ENSRNOG00000047310				
ENSRNOG00000007238	ENSDARG00000055996	ortholog_many2many	ENSXETG00000013596	ortholog_one2many
ENSRNOG00000007238	ENSDARG00000057368	ortholog_many2many	ENSXETG00000013596	ortholog_one2many
ENSRNOG00000007258	ENSDARG00000110160	ortholog_one2one	ENSXETG00000030143	ortholog_one2one
ENSRNOG00000007291	ENSDARG00000058710	ortholog_one2one	ENSXETG00000033317	ortholog_one2one
ENSRNOG00000007590	ENSDARG00000014259	ortholog_one2one	ENSXETG00000015955	ortholog_one2one
ENSRNOG00000028991				
ENSRNOG00000007354	ENSDARG00000016699	ortholog_one2many	ENSXETG00000015979	ortholog_one2one
ENSRNOG00000007354	ENSDARG00000031875	ortholog_one2many	ENSXETG00000015979	ortholog_one2one
ENSRNOG00000007540	ENSDARG00000110016	ortholog_one2one	ENSXETG00000015977	ortholog_one2one
ENSRNOG00000040289	ENSDARG00000026500	ortholog_one2one	ENSXETG00000032634	ortholog_one2one
ENSRNOG00000017773	ENSDARG00000046021	ortholog_one2one	ENSXETG00000032245	ortholog_one2one
ENSRNOG00000017686	ENSDARG00000045378	ortholog_one2many		
ENSRNOG00000017686	ENSDARG00000061292	ortholog_one2many		
ENSRNOG00000022709	ENSDARG00000058410	ortholog_many2many	ENSXETG00000018777	ortholog_one2many
ENSRNOG00000022709	ENSDARG00000034883	ortholog_many2many	ENSXETG00000018777	ortholog_one2many
ENSRNOG00000086475				
ENSRNOG00000073743				
ENSRNOG00000080815				
ENSRNOG00000088093				
ENSRNOG00000085399				
ENSRNOG00000082068				
ENSRNOG00000073490				
ENSRNOG00000078861				
ENSRNOG00000076804				
ENSRNOG00000091086				
ENSRNOG00000072583				
ENSRNOG00000081916				
ENSRNOG00000087177				
ENSRNOG00000078382				
ENSRNOG00000084916				
ENSRNOG00000085511				
ENSRNOG00000080858				
ENSRNOG00000082831				
ENSRNOG00000075081				
ENSRNOG00000074717				
ENSRNOG00000080527				
ENSRNOG00000083908				
ENSRNOG00000079962				
ENSRNOG00000090875				
ENSRNOG00000089040				
ENSRNOG00000078154				
ENSRNOG00000073433				
ENSRNOG00000068392				
ENSRNOG00000016260				
ENSRNOG00000069225				
ENSRNOG00000052679				
ENSRNOG00000059991				
ENSRNOG00000067185				
ENSRNOG00000016252	ENSDARG00000059689	ortholog_one2one	ENSXETG00000039666	ortholog_one2one
ENSRNOG00000084143				
ENSRNOG00000083750	ENSDARG00000110135	ortholog_many2many		
ENSRNOG00000083750	ENSDARG00000114355	ortholog_many2many		
ENSRNOG00000083750	ENSDARG00000111902	ortholog_many2many		
ENSRNOG00000083750	ENSDARG00000115847	ortholog_many2many		
ENSRNOG00000050877	ENSDARG00000011825	ortholog_one2one		
ENSRNOG00000077842	ENSDARG00000110135	ortholog_many2many		
ENSRNOG00000077842	ENSDARG00000114355	ortholog_many2many		
ENSRNOG00000077842	ENSDARG00000111902	ortholog_many2many		
ENSRNOG00000077842	ENSDARG00000115847	ortholog_many2many		
ENSRNOG00000058595				
ENSRNOG00000067966				
ENSRNOG00000016298	ENSDARG00000024693	ortholog_one2one	ENSXETG00000019627	ortholog_one2one
ENSRNOG00000033134	ENSDARG00000009418	ortholog_one2many	ENSXETG00000007038	ortholog_one2one
ENSRNOG00000033134	ENSDARG00000029764	ortholog_one2many	ENSXETG00000007038	ortholog_one2one
ENSRNOG00000032414	ENSDARG00000055989	ortholog_one2one	ENSXETG00000011719	ortholog_one2one
ENSRNOG00000031656	ENSDARG00000007657	ortholog_one2one	ENSXETG00000011718	ortholog_one2one
ENSRNOG00000029185	ENSDARG00000035535	ortholog_one2many	ENSXETG00000011717	ortholog_one2one
ENSRNOG00000029185	ENSDARG00000073665	ortholog_one2many	ENSXETG00000011717	ortholog_one2one
ENSRNOG00000007680	ENSDARG00000014805	ortholog_one2one	ENSXETG00000001065	ortholog_one2one
ENSRNOG00000030237	ENSDARG00000104537	ortholog_one2many	ENSXETG00000025081	ortholog_one2many
ENSRNOG00000007831	ENSDARG00000007496	ortholog_one2one	ENSXETG00000001064	ortholog_one2one
ENSRNOG00000033064	ENSDARG00000093413	ortholog_one2many	ENSXETG00000019793	ortholog_one2one
ENSRNOG00000033064	ENSDARG00000060877	ortholog_one2many	ENSXETG00000019793	ortholog_one2one
ENSRNOG00000045649	ENSDARG00000036028	ortholog_one2many	ENSXETG00000018085	ortholog_one2one
ENSRNOG00000045649	ENSDARG00000052690	ortholog_one2many	ENSXETG00000018085	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000074362	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000042643	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000109567	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000016460	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000059056	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000070149	ENSDARG00000070979	ortholog_one2many	ENSXETG00000043922	ortholog_one2one
ENSRNOG00000016306	ENSDARG00000021137	ortholog_one2one	ENSXETG00000019628	ortholog_one2one
ENSRNOG00000007441	ENSDARG00000003576	ortholog_one2one	ENSXETG00000000794	ortholog_one2one
ENSRNOG00000091091				
ENSRNOG00000078579				
ENSRNOG00000084092				
ENSRNOG00000090713				
ENSRNOG00000084458				
ENSRNOG00000007675	ENSDARG00000074540	ortholog_one2one	ENSXETG00000048027	ortholog_one2one
ENSRNOG00000076034				
ENSRNOG00000075380				
ENSRNOG00000075746				
ENSRNOG00000082345				
ENSRNOG00000085252				
ENSRNOG00000084279				
ENSRNOG00000084747				
ENSRNOG00000076196				
ENSRNOG00000087907				
ENSRNOG00000071978				
ENSRNOG00000078242				
ENSRNOG00000084891				
ENSRNOG00000006996	ENSDARG00000074691	ortholog_one2one	ENSXETG00000000796	ortholog_one2one
ENSRNOG00000080597				
ENSRNOG00000071738				
ENSRNOG00000008626	ENSDARG00000001898	ortholog_one2one	ENSXETG00000049211	ortholog_one2one
ENSRNOG00000085047				
ENSRNOG00000089147				
ENSRNOG00000007030			ENSXETG00000018746	ortholog_one2one
ENSRNOG00000082013				
ENSRNOG00000075254				
ENSRNOG00000006170	ENSDARG00000004074	ortholog_one2one	ENSXETG00000036812	ortholog_one2one
ENSRNOG00000071783				
ENSRNOG00000084156				
ENSRNOG00000005724	ENSDARG00000020469	ortholog_one2one	ENSXETG00000018737	ortholog_one2one
ENSRNOG00000078435				
ENSRNOG00000080863				
ENSRNOG00000062864				
ENSRNOG00000075954				
ENSRNOG00000071956				
ENSRNOG00000090796				
ENSRNOG00000074204				
ENSRNOG00000079052	ENSDARG00000036875	ortholog_one2many		
ENSRNOG00000086334				
ENSRNOG00000085901				
ENSRNOG00000087815				
ENSRNOG00000077694				
ENSRNOG00000074877				
ENSRNOG00000075465				
ENSRNOG00000081542				
ENSRNOG00000087330				
ENSRNOG00000085830				
ENSRNOG00000054767			ENSXETG00000037449	ortholog_one2one
ENSRNOG00000084311				
ENSRNOG00000079171				
ENSRNOG00000054088			ENSXETG00000043043	ortholog_many2many
ENSRNOG00000054088			ENSXETG00000044069	ortholog_many2many
ENSRNOG00000078163				
ENSRNOG00000059275				
ENSRNOG00000078993				
ENSRNOG00000081898				
ENSRNOG00000084849				
ENSRNOG00000058747	ENSDARG00000085400	ortholog_many2many		
ENSRNOG00000058747	ENSDARG00000080404	ortholog_many2many		
ENSRNOG00000058747	ENSDARG00000080129	ortholog_many2many		
ENSRNOG00000058747	ENSDARG00000102779	ortholog_many2many		
ENSRNOG00000082921				
ENSRNOG00000066664				
ENSRNOG00000055436				
ENSRNOG00000077627				
ENSRNOG00000083570				
ENSRNOG00000077069				
ENSRNOG00000072961				
ENSRNOG00000080809				
ENSRNOG00000076159				
ENSRNOG00000031974	ENSDARG00000102824	ortholog_one2many	ENSXETG00000003663	ortholog_one2one
ENSRNOG00000031974	ENSDARG00000099729	ortholog_one2many	ENSXETG00000003663	ortholog_one2one
ENSRNOG00000089380				
ENSRNOG00000087156				
ENSRNOG00000072595				
ENSRNOG00000075303				
ENSRNOG00000084577				
ENSRNOG00000080324				
ENSRNOG00000090963				
ENSRNOG00000076291				
ENSRNOG00000065287				
ENSRNOG00000088636				
ENSRNOG00000081395				
ENSRNOG00000068430				
ENSRNOG00000067716				
ENSRNOG00000057956				
ENSRNOG00000057640	ENSDARG00000114761	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000113672	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000112901	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000116166	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000116594	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000114925	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000100749	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000104896	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000116479	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000110107	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000111137	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000111328	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000102285	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000110824	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000113647	ortholog_one2many		
ENSRNOG00000057640	ENSDARG00000111566	ortholog_one2many		
ENSRNOG00000055018				
ENSRNOG00000052786				
ENSRNOG00000072464				
ENSRNOG00000052471				
ENSRNOG00000028373				
ENSRNOG00000011239	ENSDARG00000032866	ortholog_one2one		
ENSRNOG00000077659				
ENSRNOG00000078707				
ENSRNOG00000082840				
ENSRNOG00000086823				
ENSRNOG00000038242				
ENSRNOG00000009949	ENSDARG00000089805	ortholog_one2many	ENSXETG00000011158	ortholog_one2one
ENSRNOG00000009949	ENSDARG00000052494	ortholog_one2many	ENSXETG00000011158	ortholog_one2one
ENSRNOG00000010210	ENSDARG00000037097	ortholog_many2many	ENSXETG00000003335	ortholog_one2one
ENSRNOG00000010210	ENSDARG00000071384	ortholog_many2many	ENSXETG00000003335	ortholog_one2one
ENSRNOG00000014066	ENSDARG00000033707	ortholog_one2one	ENSXETG00000022510	ortholog_one2one
ENSRNOG00000014139	ENSDARG00000057248	ortholog_one2one	ENSXETG00000022505	ortholog_one2one
ENSRNOG00000038330	ENSDARG00000017985	ortholog_one2one	ENSXETG00000024512	ortholog_one2one
ENSRNOG00000085005				
ENSRNOG00000088483				
ENSRNOG00000072488				
ENSRNOG00000088025				
ENSRNOG00000084527				
ENSRNOG00000076428				
ENSRNOG00000078700				
ENSRNOG00000082544				
ENSRNOG00000080301				
ENSRNOG00000086959				
ENSRNOG00000072245				
ENSRNOG00000080805				
ENSRNOG00000085455				
ENSRNOG00000075177				
ENSRNOG00000087992				
ENSRNOG00000077481				
ENSRNOG00000081676				
ENSRNOG00000073798				
ENSRNOG00000089130				
ENSRNOG00000088328				
ENSRNOG00000082359				
ENSRNOG00000075092				
ENSRNOG00000080542				
ENSRNOG00000085878				
ENSRNOG00000073740				
ENSRNOG00000086242				
ENSRNOG00000077196				
ENSRNOG00000073102				
ENSRNOG00000087778				
ENSRNOG00000087343				
ENSRNOG00000083319				
ENSRNOG00000074839				
ENSRNOG00000074393				
ENSRNOG00000055905				
ENSRNOG00000056329				
ENSRNOG00000068700				
ENSRNOG00000061021				
ENSRNOG00000061747				
ENSRNOG00000031067	ENSDARG00000062059	ortholog_many2many	ENSXETG00000019985	ortholog_many2many
ENSRNOG00000009821	ENSDARG00000078123	ortholog_one2one	ENSXETG00000037143	ortholog_one2one
ENSRNOG00000009826			ENSXETG00000006497	ortholog_one2many
ENSRNOG00000009826			ENSXETG00000008731	ortholog_one2many
ENSRNOG00000009792				
ENSRNOG00000009903				
ENSRNOG00000024628			ENSXETG00000022874	ortholog_one2one
ENSRNOG00000010147	ENSDARG00000035054	ortholog_one2many	ENSXETG00000022875	ortholog_one2one
ENSRNOG00000010147	ENSDARG00000012591	ortholog_one2many	ENSXETG00000022875	ortholog_one2one
ENSRNOG00000010248	ENSDARG00000034168	ortholog_one2one	ENSXETG00000022866	ortholog_one2one
ENSRNOG00000046421	ENSDARG00000111801	ortholog_one2one	ENSXETG00000036413	ortholog_one2one
ENSRNOG00000024213	ENSDARG00000008732	ortholog_one2many	ENSXETG00000022848	ortholog_one2one
ENSRNOG00000010640	ENSDARG00000018616	ortholog_many2many	ENSXETG00000034925	ortholog_one2many
ENSRNOG00000010640	ENSDARG00000045443	ortholog_many2many	ENSXETG00000034925	ortholog_one2many
ENSRNOG00000047002	ENSDARG00000040198	ortholog_one2one	ENSXETG00000012007	ortholog_one2one
ENSRNOG00000062882	ENSDARG00000070538	ortholog_one2one	ENSXETG00000007864	ortholog_one2one
ENSRNOG00000011705	ENSDARG00000070537	ortholog_one2many	ENSXETG00000039584	ortholog_one2one
ENSRNOG00000011705	ENSDARG00000033234	ortholog_one2many	ENSXETG00000039584	ortholog_one2one
ENSRNOG00000034093	ENSDARG00000068992	ortholog_many2many	ENSXETG00000013038	ortholog_one2many
ENSRNOG00000034093	ENSDARG00000037403	ortholog_many2many	ENSXETG00000013038	ortholog_one2many
ENSRNOG00000011827	ENSDARG00000002240	ortholog_one2many	ENSXETG00000034876	ortholog_one2many
ENSRNOG00000011973				
ENSRNOG00000021581	ENSDARG00000005482	ortholog_one2one	ENSXETG00000012010	ortholog_one2one
ENSRNOG00000022356	ENSDARG00000027915	ortholog_one2one	ENSXETG00000007862	ortholog_one2one
ENSRNOG00000012095			ENSXETG00000027262	ortholog_one2one
ENSRNOG00000032009			ENSXETG00000035943	ortholog_one2one
ENSRNOG00000027833	ENSDARG00000077648	ortholog_one2one	ENSXETG00000044167	ortholog_one2one
ENSRNOG00000008748	ENSDARG00000062421	ortholog_one2one	ENSXETG00000017165	ortholog_one2one
ENSRNOG00000008765	ENSDARG00000075542	ortholog_one2one	ENSXETG00000038442	ortholog_one2one
ENSRNOG00000009538	ENSDARG00000038834	ortholog_one2one	ENSXETG00000019489	ortholog_one2one
ENSRNOG00000008971	ENSDARG00000071565	ortholog_one2one	ENSXETG00000017845	ortholog_one2one
ENSRNOG00000068305	ENSDARG00000099104	ortholog_one2many	ENSXETG00000008052	ortholog_one2many
ENSRNOG00000078822				
ENSRNOG00000086604	ENSDARG00000104641	ortholog_one2many		
ENSRNOG00000021745	ENSDARG00000058039	ortholog_one2one	ENSXETG00000045162	ortholog_one2one
ENSRNOG00000075727				
ENSRNOG00000009730	ENSDARG00000008858	ortholog_one2one	ENSXETG00000024529	ortholog_one2one
ENSRNOG00000082758				
ENSRNOG00000013253	ENSDARG00000013861	ortholog_one2one	ENSXETG00000020281	ortholog_one2one
ENSRNOG00000087814				
ENSRNOG00000081987				
ENSRNOG00000027408	ENSDARG00000038835	ortholog_one2many	ENSXETG00000019484	ortholog_one2many
ENSRNOG00000021359	ENSDARG00000045304	ortholog_one2one	ENSXETG00000040460	ortholog_one2one
ENSRNOG00000089642				
ENSRNOG00000063156				
ENSRNOG00000082920				
ENSRNOG00000067266				
ENSRNOG00000067916	ENSDARG00000078785	ortholog_one2many		
ENSRNOG00000076573				
ENSRNOG00000053430	ENSDARG00000075948	ortholog_one2one	ENSXETG00000011257	ortholog_one2one
ENSRNOG00000087310				
ENSRNOG00000082533				
ENSRNOG00000088669				
ENSRNOG00000013048	ENSDARG00000045305	ortholog_one2one	ENSXETG00000020283	ortholog_one2one
ENSRNOG00000071891				
ENSRNOG00000084493				
ENSRNOG00000028708	ENSDARG00000077577	ortholog_one2one	ENSXETG00000047777	ortholog_one2one
ENSRNOG00000079552				
ENSRNOG00000090476				
ENSRNOG00000078615				
ENSRNOG00000079542				
ENSRNOG00000084320				
ENSRNOG00000075937				
ENSRNOG00000073209				
ENSRNOG00000057996	ENSDARG00000058243	ortholog_one2many	ENSXETG00000005049	ortholog_one2one
ENSRNOG00000057996	ENSDARG00000019304	ortholog_one2many	ENSXETG00000005049	ortholog_one2one
ENSRNOG00000076318				
ENSRNOG00000081155				
ENSRNOG00000013038	ENSDARG00000026712	ortholog_one2many	ENSXETG00000046256	ortholog_one2many
ENSRNOG00000090562				
ENSRNOG00000071589				
ENSRNOG00000088858				
ENSRNOG00000012851	ENSDARG00000058147	ortholog_one2one	ENSXETG00000030170	ortholog_one2one
ENSRNOG00000084020				
ENSRNOG00000010084	ENSDARG00000057939	ortholog_one2one	ENSXETG00000021659	ortholog_one2one
ENSRNOG00000084737				
ENSRNOG00000061690	ENSDARG00000088950	ortholog_one2one	ENSXETG00000031145	ortholog_one2one
ENSRNOG00000088212				
ENSRNOG00000012723	ENSDARG00000029596	ortholog_one2many	ENSXETG00000020286	ortholog_one2one
ENSRNOG00000012723	ENSDARG00000058158	ortholog_one2many	ENSXETG00000020286	ortholog_one2one
ENSRNOG00000082706				
ENSRNOG00000012703	ENSDARG00000093401	ortholog_one2many	ENSXETG00000040673	ortholog_one2many
ENSRNOG00000012703	ENSDARG00000027657	ortholog_one2many	ENSXETG00000040673	ortholog_one2many
