Gene stable ID	Tropical clawed frog gene stable ID	Tropical clawed frog homology type
ENSDARG00000078686	ENSXETG00000000910	ortholog_one2one
ENSDARG00000017835		
ENSDARG00000044318	ENSXETG00000012671	ortholog_one2one
ENSDARG00000076025	ENSXETG00000001956	ortholog_one2many
ENSDARG00000009253	ENSXETG00000046090	ortholog_one2one
ENSDARG00000062549	ENSXETG00000000504	ortholog_one2one
ENSDARG00000037262		
ENSDARG00000075855	ENSXETG00000020592	ortholog_one2many
ENSDARG00000037555	ENSXETG00000041181	ortholog_one2one
ENSDARG00000038976	ENSXETG00000040352	ortholog_one2one
ENSDARG00000039349	ENSXETG00000037880	ortholog_one2many
ENSDARG00000036588		
ENSDARG00000098257	ENSXETG00000018945	ortholog_one2many
ENSDARG00000059351	ENSXETG00000001806	ortholog_one2one
ENSDARG00000105553		
ENSDARG00000078717	ENSXETG00000020282	ortholog_one2one
ENSDARG00000024219	ENSXETG00000026157	ortholog_one2one
ENSDARG00000102612	ENSXETG00000023742	ortholog_one2one
ENSDARG00000075818		
ENSDARG00000063006	ENSXETG00000010044	ortholog_one2many
ENSDARG00000097115		
ENSDARG00000055560	ENSXETG00000042578	ortholog_one2one
ENSDARG00000099099		
ENSDARG00000024771	ENSXETG00000018406	ortholog_one2one
ENSDARG00000052846	ENSXETG00000023385	ortholog_one2many
ENSDARG00000092855	ENSXETG00000002760	ortholog_one2many
ENSDARG00000014024		
ENSDARG00000100531	ENSXETG00000000088	ortholog_one2one
ENSDARG00000101319	ENSXETG00000045617	ortholog_one2many
ENSDARG00000055445	ENSXETG00000020972	ortholog_one2one
ENSDARG00000089750	ENSXETG00000027581	ortholog_one2many
ENSDARG00000078529	ENSXETG00000019150	ortholog_one2many
ENSDARG00000094550		
ENSDARG00000091169	ENSXETG00000023451	ortholog_one2many
ENSDARG00000052010	ENSXETG00000040114	ortholog_one2one
ENSDARG00000098075	ENSXETG00000012330	ortholog_one2one
ENSDARG00000093164		
ENSDARG00000093780		
ENSDARG00000069595	ENSXETG00000035983	ortholog_one2one
ENSDARG00000093621		
ENSDARG00000045070	ENSXETG00000019163	ortholog_one2many
ENSDARG00000055901	ENSXETG00000027407	ortholog_one2many
ENSDARG00000055901	ENSXETG00000008794	ortholog_one2many
ENSDARG00000093608		
ENSDARG00000023111	ENSXETG00000038551	ortholog_one2one
ENSDARG00000020197	ENSXETG00000023004	ortholog_one2many
ENSDARG00000040930	ENSXETG00000005764	ortholog_one2one
ENSDARG00000099685	ENSXETG00000020741	ortholog_one2many
ENSDARG00000051729		
ENSDARG00000098514		
ENSDARG00000077778	ENSXETG00000013147	ortholog_one2one
ENSDARG00000057227	ENSXETG00000013115	ortholog_one2one
ENSDARG00000092014		
ENSDARG00000043431	ENSXETG00000041560	ortholog_one2one
ENSDARG00000029905	ENSXETG00000012919	ortholog_one2one
ENSDARG00000077082	ENSXETG00000013094	ortholog_one2one
ENSDARG00000077581	ENSXETG00000031959	ortholog_one2one
ENSDARG00000018593	ENSXETG00000006648	ortholog_one2one
ENSDARG00000079455	ENSXETG00000021425	ortholog_one2many
ENSDARG00000071648		
ENSDARG00000095337		
ENSDARG00000097225		
ENSDARG00000097063		
ENSDARG00000094616		
ENSDARG00000002509		
ENSDARG00000027826	ENSXETG00000008168	ortholog_one2one
ENSDARG00000010408		
ENSDARG00000054031	ENSXETG00000047414	ortholog_one2one
ENSDARG00000062987	ENSXETG00000010094	ortholog_one2one
ENSDARG00000004296	ENSXETG00000045610	ortholog_one2one
ENSDARG00000039880	ENSXETG00000046081	ortholog_one2many
ENSDARG00000035860	ENSXETG00000021905	ortholog_one2one
ENSDARG00000041078	ENSXETG00000010020	ortholog_one2one
ENSDARG00000023298	ENSXETG00000024836	ortholog_one2many
ENSDARG00000104332		
ENSDARG00000075112	ENSXETG00000021317	ortholog_one2many
ENSDARG00000002219	ENSXETG00000004452	ortholog_one2one
ENSDARG00000098889		
ENSDARG00000079391	ENSXETG00000032902	ortholog_one2one
ENSDARG00000074306	ENSXETG00000027581	ortholog_one2many
ENSDARG00000093010		
ENSDARG00000096588	ENSXETG00000020592	ortholog_one2many
ENSDARG00000105603		
ENSDARG00000093645		
ENSDARG00000040021	ENSXETG00000018015	ortholog_one2one
ENSDARG00000036893	ENSXETG00000031039	ortholog_one2many
ENSDARG00000013266	ENSXETG00000001204	ortholog_one2one
ENSDARG00000042937	ENSXETG00000037366	ortholog_one2one
ENSDARG00000111173		
ENSDARG00000094473		
ENSDARG00000071377	ENSXETG00000014342	ortholog_one2many
ENSDARG00000025671	ENSXETG00000018732	ortholog_one2many
ENSDARG00000092630		
ENSDARG00000035018	ENSXETG00000021603	ortholog_one2many
ENSDARG00000039173	ENSXETG00000027581	ortholog_one2many
ENSDARG00000037196	ENSXETG00000014055	ortholog_one2one
ENSDARG00000032264	ENSXETG00000012125	ortholog_one2one
ENSDARG00000025325		
ENSDARG00000097542		
ENSDARG00000054184		
ENSDARG00000056331	ENSXETG00000002023	ortholog_one2one
ENSDARG00000102080	ENSXETG00000027063	ortholog_one2many
ENSDARG00000069888		
ENSDARG00000038363	ENSXETG00000036892	ortholog_one2many
ENSDARG00000010472	ENSXETG00000008125	ortholog_one2one
ENSDARG00000040643	ENSXETG00000037864	ortholog_one2one
ENSDARG00000075673	ENSXETG00000005905	ortholog_one2many
ENSDARG00000017422		
ENSDARG00000095804		
ENSDARG00000077318		
ENSDARG00000097032		
ENSDARG00000092535		
ENSDARG00000096638		
ENSDARG00000063390	ENSXETG00000024874	ortholog_many2many
ENSDARG00000026403	ENSXETG00000006429	ortholog_one2one
ENSDARG00000062108	ENSXETG00000049149	ortholog_one2many
ENSDARG00000076830	ENSXETG00000046360	ortholog_one2many
ENSDARG00000076830	ENSXETG00000008309	ortholog_one2many
ENSDARG00000076830	ENSXETG00000008317	ortholog_one2many
ENSDARG00000076830	ENSXETG00000040346	ortholog_one2many
ENSDARG00000042726	ENSXETG00000015151	ortholog_one2one
ENSDARG00000075030		
ENSDARG00000103155	ENSXETG00000019136	ortholog_one2many
ENSDARG00000019235		
ENSDARG00000075952		
ENSDARG00000055472	ENSXETG00000007991	ortholog_one2many
ENSDARG00000055472	ENSXETG00000036623	ortholog_one2many
ENSDARG00000088293	ENSXETG00000034803	ortholog_one2one
ENSDARG00000101050	ENSXETG00000048984	ortholog_one2one
ENSDARG00000097953		
ENSDARG00000030867	ENSXETG00000031228	ortholog_one2many
ENSDARG00000053383	ENSXETG00000047739	ortholog_one2many
ENSDARG00000056921	ENSXETG00000011663	ortholog_one2one
ENSDARG00000042057	ENSXETG00000004539	ortholog_one2one
ENSDARG00000105459	ENSXETG00000042473	ortholog_one2one
ENSDARG00000100906	ENSXETG00000044252	ortholog_one2many
ENSDARG00000088764	ENSXETG00000041479	ortholog_one2one
ENSDARG00000033754	ENSXETG00000003421	ortholog_one2one
ENSDARG00000002184	ENSXETG00000023188	ortholog_one2one
ENSDARG00000093450		
ENSDARG00000015681	ENSXETG00000012072	ortholog_one2many
ENSDARG00000092078		
ENSDARG00000105359		
ENSDARG00000079665	ENSXETG00000018822	ortholog_one2many
ENSDARG00000021702	ENSXETG00000002778	ortholog_one2one
ENSDARG00000096968		
ENSDARG00000070846	ENSXETG00000003704	ortholog_one2one
ENSDARG00000070507	ENSXETG00000001811	ortholog_one2many
ENSDARG00000009754	ENSXETG00000000439	ortholog_one2one
ENSDARG00000077124		
ENSDARG00000101124		
ENSDARG00000067828		
ENSDARG00000004184	ENSXETG00000021350	ortholog_one2many
ENSDARG00000063155	ENSXETG00000041664	ortholog_one2one
ENSDARG00000096606		
ENSDARG00000033444		
ENSDARG00000088861	ENSXETG00000040896	ortholog_many2many
ENSDARG00000088861	ENSXETG00000046338	ortholog_many2many
ENSDARG00000088861	ENSXETG00000043307	ortholog_many2many
ENSDARG00000088861	ENSXETG00000043861	ortholog_many2many
ENSDARG00000079453	ENSXETG00000008789	ortholog_one2one
ENSDARG00000042825	ENSXETG00000042116	ortholog_one2one
ENSDARG00000100423		
ENSDARG00000060036	ENSXETG00000019862	ortholog_one2many
ENSDARG00000020926	ENSXETG00000047888	ortholog_one2one
ENSDARG00000104656	ENSXETG00000027690	ortholog_one2many
ENSDARG00000104656	ENSXETG00000017117	ortholog_one2many
ENSDARG00000091901		
ENSDARG00000019098	ENSXETG00000022237	ortholog_one2many
ENSDARG00000016897	ENSXETG00000023558	ortholog_one2many
ENSDARG00000037962	ENSXETG00000042236	ortholog_one2one
ENSDARG00000096996		
ENSDARG00000003533	ENSXETG00000005782	ortholog_one2one
ENSDARG00000015566	ENSXETG00000001232	ortholog_one2many
ENSDARG00000115281		
ENSDARG00000114405		
ENSDARG00000020788	ENSXETG00000027411	ortholog_one2many
ENSDARG00000098428	ENSXETG00000042902	ortholog_one2many
ENSDARG00000098428	ENSXETG00000042291	ortholog_one2many
ENSDARG00000097460		
ENSDARG00000069245	ENSXETG00000008005	ortholog_one2many
ENSDARG00000004597	ENSXETG00000041338	ortholog_one2many
ENSDARG00000009350	ENSXETG00000002424	ortholog_one2one
ENSDARG00000010956	ENSXETG00000000487	ortholog_one2many
ENSDARG00000098260	ENSXETG00000005120	ortholog_one2many
ENSDARG00000099535		
ENSDARG00000100139	ENSXETG00000035548	ortholog_one2one
ENSDARG00000076966	ENSXETG00000048388	ortholog_one2one
ENSDARG00000042252	ENSXETG00000018230	ortholog_one2one
ENSDARG00000042151	ENSXETG00000015978	ortholog_one2one
ENSDARG00000018898		
ENSDARG00000004274	ENSXETG00000033286	ortholog_one2one
ENSDARG00000018008	ENSXETG00000034073	ortholog_one2one
ENSDARG00000103802		
ENSDARG00000052164	ENSXETG00000013603	ortholog_one2one
ENSDARG00000071548	ENSXETG00000006895	ortholog_one2one
ENSDARG00000046141	ENSXETG00000035727	ortholog_one2one
ENSDARG00000036080	ENSXETG00000047846	ortholog_one2many
ENSDARG00000041802	ENSXETG00000008400	ortholog_one2one
ENSDARG00000096747		
ENSDARG00000071679	ENSXETG00000030190	ortholog_one2one
ENSDARG00000079438	ENSXETG00000006706	ortholog_one2many
ENSDARG00000086457		
ENSDARG00000032552	ENSXETG00000038834	ortholog_one2one
ENSDARG00000097736		
ENSDARG00000101910		
ENSDARG00000058815	ENSXETG00000011181	ortholog_many2many
ENSDARG00000013076	ENSXETG00000007387	ortholog_one2many
ENSDARG00000044626	ENSXETG00000013639	ortholog_one2one
ENSDARG00000015862	ENSXETG00000023004	ortholog_one2many
ENSDARG00000096017		
ENSDARG00000014790	ENSXETG00000000334	ortholog_one2many
ENSDARG00000071396	ENSXETG00000026175	ortholog_one2many
ENSDARG00000061791	ENSXETG00000025815	ortholog_one2one
ENSDARG00000068993	ENSXETG00000036024	ortholog_one2many
ENSDARG00000075072	ENSXETG00000000054	ortholog_one2one
ENSDARG00000097687		
ENSDARG00000056531	ENSXETG00000026897	ortholog_one2one
ENSDARG00000011240	ENSXETG00000021567	ortholog_one2one
ENSDARG00000061185	ENSXETG00000031356	ortholog_one2one
ENSDARG00000095132		
ENSDARG00000059423	ENSXETG00000003614	ortholog_one2one
ENSDARG00000036787	ENSXETG00000043963	ortholog_one2many
ENSDARG00000036787	ENSXETG00000016570	ortholog_one2many
ENSDARG00000079221	ENSXETG00000030993	ortholog_many2many
ENSDARG00000079221	ENSXETG00000004663	ortholog_many2many
ENSDARG00000079221	ENSXETG00000044712	ortholog_many2many
ENSDARG00000079221	ENSXETG00000026592	ortholog_many2many
ENSDARG00000079221	ENSXETG00000017103	ortholog_many2many
ENSDARG00000079221	ENSXETG00000036636	ortholog_many2many
ENSDARG00000079221	ENSXETG00000006435	ortholog_many2many
ENSDARG00000079221	ENSXETG00000037425	ortholog_many2many
ENSDARG00000045857	ENSXETG00000000654	ortholog_one2many
ENSDARG00000094301		
ENSDARG00000114873		
ENSDARG00000103707		
ENSDARG00000097437		
ENSDARG00000077299	ENSXETG00000012271	ortholog_one2one
ENSDARG00000115333		
ENSDARG00000115584		
ENSDARG00000033134	ENSXETG00000000653	ortholog_one2one
ENSDARG00000004433	ENSXETG00000018152	ortholog_one2one
ENSDARG00000002994	ENSXETG00000002580	ortholog_one2many
ENSDARG00000022177	ENSXETG00000000311	ortholog_one2one
ENSDARG00000036382	ENSXETG00000042331	ortholog_one2many
ENSDARG00000036382	ENSXETG00000030771	ortholog_one2many
ENSDARG00000030311	ENSXETG00000014406	ortholog_many2many
ENSDARG00000030311	ENSXETG00000031532	ortholog_many2many
ENSDARG00000003420	ENSXETG00000023896	ortholog_one2one
ENSDARG00000060124	ENSXETG00000044879	ortholog_one2one
ENSDARG00000045874	ENSXETG00000026783	ortholog_one2one
ENSDARG00000075666		
ENSDARG00000044895	ENSXETG00000011835	ortholog_one2many
ENSDARG00000041546	ENSXETG00000044361	ortholog_one2one
ENSDARG00000045691	ENSXETG00000006796	ortholog_one2one
ENSDARG00000098652	ENSXETG00000002370	ortholog_one2one
ENSDARG00000100468	ENSXETG00000045617	ortholog_one2many
ENSDARG00000101459		
ENSDARG00000017675		
ENSDARG00000089513		
ENSDARG00000096118	ENSXETG00000045670	ortholog_one2one
ENSDARG00000087814	ENSXETG00000037911	ortholog_one2one
ENSDARG00000101715	ENSXETG00000034916	ortholog_one2many
ENSDARG00000095555		
ENSDARG00000022918		
ENSDARG00000094135		
ENSDARG00000068602	ENSXETG00000009339	ortholog_one2one
ENSDARG00000002912	ENSXETG00000007972	ortholog_one2many
ENSDARG00000103395	ENSXETG00000004382	ortholog_one2many
ENSDARG00000079377	ENSXETG00000014106	ortholog_one2one
ENSDARG00000016345	ENSXETG00000008695	ortholog_one2one
ENSDARG00000091317	ENSXETG00000007352	ortholog_one2one
ENSDARG00000096726		
ENSDARG00000070847	ENSXETG00000007044	ortholog_many2many
ENSDARG00000070847	ENSXETG00000001933	ortholog_many2many
ENSDARG00000096678		
ENSDARG00000004034		
ENSDARG00000000474	ENSXETG00000017087	ortholog_one2many
ENSDARG00000054597	ENSXETG00000000372	ortholog_one2one
ENSDARG00000097891		
ENSDARG00000058695	ENSXETG00000004752	ortholog_one2many
ENSDARG00000099189		
ENSDARG00000012467		
ENSDARG00000073950		
ENSDARG00000067566	ENSXETG00000032549	ortholog_many2many
ENSDARG00000058696	ENSXETG00000001521	ortholog_one2many
ENSDARG00000007383	ENSXETG00000000152	ortholog_one2one
ENSDARG00000095291		
ENSDARG00000063036		
ENSDARG00000093079	ENSXETG00000002964	ortholog_one2many
ENSDARG00000019004	ENSXETG00000013366	ortholog_one2one
ENSDARG00000073704		
ENSDARG00000057887	ENSXETG00000040562	ortholog_one2one
ENSDARG00000045378		
ENSDARG00000099469		
ENSDARG00000043757	ENSXETG00000002225	ortholog_one2one
ENSDARG00000097342		
ENSDARG00000017537	ENSXETG00000013879	ortholog_one2many
ENSDARG00000094146		
ENSDARG00000012942	ENSXETG00000047570	ortholog_one2one
ENSDARG00000068934	ENSXETG00000038590	ortholog_one2one
ENSDARG00000104129	ENSXETG00000049017	ortholog_one2one
ENSDARG00000074156	ENSXETG00000003373	ortholog_one2one
ENSDARG00000052019		
ENSDARG00000101668		
ENSDARG00000058587	ENSXETG00000033662	ortholog_one2one
ENSDARG00000017860		
ENSDARG00000075996		
ENSDARG00000067507	ENSXETG00000008440	ortholog_one2one
ENSDARG00000070644	ENSXETG00000001776	ortholog_one2one
ENSDARG00000037935		
ENSDARG00000103815		
ENSDARG00000093180		
ENSDARG00000043664	ENSXETG00000013954	ortholog_one2one
ENSDARG00000101047	ENSXETG00000011523	ortholog_one2one
