EntrezGeneID,GeneSymbol,TranscriptsNumber,UniqueExonsPerGene,MaxExonPerTranscript
174,AFP,2,18,15
175,AGA,2,12,9
176,ACAN,3,20,19
177,AGER,9,65,11
178,AGL,5,38,34
181,AGRP,1,4,4
182,JAG1,1,26,26
183,AGT,1,5,5
185,AGTR1,5,6,4
186,AGTR2,1,3,3
187,APLNR,1,1,1
189,AGXT,1,11,11
190,NR0B1,1,2,2
191,AHCY,6,17,11
196,AHR,1,11,11
197,AHSG,4,9,7
199,AIF1,3,15,6
202,CRYBG1,2,23,22
203,AK1,3,10,7
204,AK2,8,14,8
205,AK4,4,9,6
207,AKT1,3,17,15
208,AKT2,4,15,14
210,ALAD,3,15,12
211,ALAS1,4,15,12
212,ALAS2,3,12,11
213,ALB,1,15,15
214,ALCAM,4,18,16
215,ABCD1,1,10,10
216,ALDH1A1,1,13,13
217,ALDH2,2,13,13
218,ALDH3A1,4,14,11
219,ALDH1B1,1,2,2
220,ALDH1A3,2,13,13
221,ALDH3B1,5,14,10
222,ALDH3B2,2,12,11
223,ALDH9A1,2,13,11
224,ALDH3A2,8,18,12
225,ABCD2,1,10,10
226,ALDOA,4,13,10
229,ALDOB,1,9,9
230,ALDOC,1,9,9
231,AKR1B1,2,12,10
238,ALK,2,30,29
239,ALOX12,1,14,14
240,ALOX5,5,32,14
241,ALOX5AP,2,7,6
242,ALOX12B,1,15,15
246,ALOX15,1,14,14
247,ALOX15B,3,15,14
248,ALPI,1,11,11
249,ALPL,6,17,12
250,ALPP,1,11,11
251,ALPG,1,11,11
257,ALX3,1,4,4
258,AMBN,1,13,13
259,AMBP,1,10,10
262,AMD1,4,11,9
265,AMELX,3,7,7
266,AMELY,2,7,7
267,AMFR,3,16,15
268,AMH,1,5,5
269,AMHR2,3,13,11
270,AMPD1,2,16,16
271,AMPD2,5,23,19
272,AMPD3,5,21,15
273,AMPH,2,23,21
274,BIN1,16,23,19
275,AMT,4,11,10
276,AMY1A,2,22,11
277,AMY1B,1,11,11
278,AMY1C,2,22,11
279,AMY2A,1,10,10
280,AMY2B,1,12,12
283,ANG,2,3,2
284,ANGPT1,3,11,9
285,ANGPT2,3,10,9
286,ANK1,8,48,43
287,ANK2,49,59,49
288,ANK3,5,50,44
290,ANPEP,1,21,21
291,SLC25A4,1,4,4
292,SLC25A5,1,4,4
293,SLC25A6,1,4,4
301,ANXA1,1,13,13
302,ANXA2,4,16,14
306,ANXA3,1,13,13
307,ANXA4,5,21,15
308,ANXA5,1,13,13
309,ANXA6,3,27,26
310,ANXA7,4,14,14
311,ANXA11,6,23,17
312,ANXA13,2,12,12
313,AOAH,3,23,22
314,AOC2,2,5,4
316,AOX1,1,35,35
317,APAF1,5,30,27
318,NUDT2,4,7,5
319,APOF,1,2,2
320,APBA1,1,11,11
321,APBA2,12,50,15
322,APBB1,8,23,14
323,APBB2,9,24,18
324,APC,15,26,17
325,APCS,1,2,2
326,AIRE,1,14,14
327,APEH,1,22,22
328,APEX1,4,8,5
329,BIRC2,3,12,9
330,BIRC3,2,10,10
331,XIAP,2,8,7
332,BIRC5,3,6,5
333,APLP1,2,18,17
334,APLP2,9,20,18
335,APOA1,4,7,4
336,APOA2,1,4,4
337,APOA4,1,3,3
338,APOB,1,29,29
339,APOBEC1,3,7,6
341,APOC1,3,6,5
343,AQP8,1,6,6
344,APOC2,1,4,4
345,APOC3,1,4,4
346,APOC4,1,3,3
347,APOD,1,5,5
348,APOE,5,8,4
350,APOH,1,8,8
351,APP,10,20,18
353,APRT,2,6,5
354,KLK3,3,7,5
355,FAS,4,11,9
356,FASLG,2,6,4
357,SHROOM2,3,14,10
358,AQP1,2,6,5
359,AQP2,1,4,4
360,AQP3,2,6,6
361,AQP4,7,8,5
362,AQP5,1,4,4
363,AQP6,1,4,4
364,AQP7,4,12,8
366,AQP9,3,9,6
367,AR,5,14,9
368,ABCC6,3,63,31
369,ARAF,3,19,16
372,ARCN1,2,10,10
373,TRIM23,3,15,13
374,AREG,1,6,6
375,ARF1,4,8,5
377,ARF3,1,5,5
378,ARF4,1,6,6
379,ARL4D,1,2,2
381,ARF5,1,6,6
382,ARF6,1,2,2
383,ARG1,3,9,8
384,ARG2,1,8,8
387,RHOA,7,11,6
388,RHOB,1,1,1
389,RHOC,3,7,6
390,RND3,2,8,6
391,RHOG,1,2,2
392,ARHGAP1,1,13,13
393,ARHGAP4,2,23,23
394,ARHGAP5,2,8,7
395,ARHGAP6,4,16,13
396,ARHGDIA,7,12,7
397,ARHGDIB,5,11,7
398,ARHGDIG,1,6,6
399,RHOH,12,16,5
400,ARL1,2,8,6
401,PHOX2A,1,3,3
402,ARL2,2,5,5
403,ARL3,1,6,6
405,ARNT,8,29,23
406,ARNTL,27,28,21
407,ARR3,1,17,17
408,ARRB1,2,16,16
409,ARRB2,7,23,15
410,ARSA,6,12,9
411,ARSB,2,11,8
412,STS,6,19,12
414,ARSD,2,11,10
415,ARSL,5,16,12
416,ARSF,3,13,11
417,ART1,1,5,5
419,ART3,3,13,12
420,ART4,2,4,3
421,ARVCF,1,20,20
427,ASAH1,4,17,14
429,ASCL1,1,2,2
430,ASCL2,1,2,2
432,ASGR1,2,10,9
433,ASGR2,5,12,9
434,ASIP,1,3,3
435,ASL,4,17,17
438,ASMT,3,10,10
439,GET3,3,9,8
440,ASNS,7,21,14
443,ASPA,2,7,7
444,ASPH,12,34,25
445,ASS1,2,17,16
460,ASTN1,4,28,23
462,SERPINC1,2,10,8
463,ZFHX3,2,11,10
466,ATF1,1,7,7
467,ATF3,6,10,5
468,ATF4,2,3,3
471,ATIC,1,16,16
472,ATM,4,67,64
473,RERE,3,25,24
474,ATOH1,1,1,1
475,ATOX1,1,4,4
476,ATP1A1,3,26,23
477,ATP1A2,1,23,23
478,ATP1A3,3,25,23
479,ATP12A,2,24,23
480,ATP1A4,2,23,22
481,ATP1B1,1,6,6
482,ATP1B2,2,9,7
483,ATP1B3,1,7,7
486,FXYD2,2,7,6
487,ATP2A1,3,27,23
488,ATP2A2,2,22,21
489,ATP2A3,7,29,23
490,ATP2B1,15,27,22
491,ATP2B2,5,28,23
492,ATP2B3,2,22,21
493,ATP2B4,4,26,22
495,ATP4A,1,22,22
496,ATP4B,1,7,7
498,ATP5F1A,5,18,13
501,ALDH7A1,3,18,18
506,ATP5F1B,1,10,10
509,ATP5F1C,3,13,10
513,ATP5F1D,2,5,5
514,ATP5F1E,1,3,3
515,ATP5PB,1,7,7
516,ATP5MC1,2,6,5
517,ATP5MC2,9,15,6
518,ATP5MC3,3,7,5
521,ATP5ME,1,4,4
522,ATP5PF,7,10,5
523,ATP6V1A,1,15,15
525,ATP6V1B1,1,14,14
526,ATP6V1B2,1,14,14
527,ATP6V0C,2,4,4
528,ATP6V1C1,1,13,13
529,ATP6V1E1,3,10,9
533,ATP6V0B,3,11,8
534,ATP6V1G2,3,9,3
535,ATP6V0A1,3,23,22
537,ATP6AP1,1,10,10
538,ATP7A,2,24,23
539,ATP5PO,1,7,7
540,ATP7B,5,24,22
545,ATR,2,47,47
546,ATRX,2,35,35
547,KIF1A,5,53,49
549,AUH,5,13,11
550,AUP1,1,12,12
551,AVP,1,3,3
552,AVPR1A,1,2,2
553,AVPR1B,1,2,2
554,AVPR2,2,5,4
558,AXL,3,22,20
563,AZGP1,1,4,4
566,AZU1,1,5,5
567,B2M,1,4,4
570,BAAT,2,5,4
571,BACH1,2,6,5
572,BAD,2,6,4
573,BAG1,4,7,7
574,BAGE,1,4,4
575,ADGRB1,1,31,31
576,ADGRB2,3,36,33
577,ADGRB3,1,32,32
578,BAK1,1,6,6
579,NKX3-2,1,2,2
580,BARD1,5,11,11
581,BAX,8,13,6
582,BBS1,1,17,17
583,BBS2,1,17,17
585,BBS4,3,19,16
586,BCAT1,5,13,11
587,BCAT2,3,12,12
590,BCHE,1,4,4
593,BCKDHA,2,10,9
594,BCKDHB,3,13,11
595,CCND1,1,5,5
596,BCL2,2,4,3
597,BCL2A1,2,3,3
598,BCL2L1,8,8,3
599,BCL2L2,2,5,4
602,BCL3,1,9,9
604,BCL6,3,12,10
605,BCL7A,2,7,6
607,BCL9,1,10,10
608,TNFRSF17,1,3,3
610,HCN2,1,8,8
611,OPN1SW,1,5,5
613,BCR,2,23,23
617,BCS1L,22,23,10
622,BDH1,3,9,8
623,BDKRB1,1,3,3
624,BDKRB2,1,3,3
627,BDNF,17,18,4
629,CFB,1,18,18
631,BFSP1,5,14,10
632,BGLAP,1,4,4
633,BGN,1,8,8
634,CEACAM1,6,11,9
635,BHMT,1,8,8
636,BICD1,7,19,11
637,BID,7,8,6
638,BIK,1,5,5
639,PRDM1,2,8,7
640,BLK,2,25,13
641,BLM,4,25,23
642,BLMH,1,12,12
643,CXCR5,2,3,2
644,BLVRA,2,10,9
645,BLVRB,1,5,5
646,BNC1,2,6,5
648,BMI1,1,10,10
649,BMP1,2,21,20
650,BMP2,1,3,3
651,BMP3,1,3,3
652,BMP4,9,10,4
653,BMP5,3,7,7
654,BMP6,1,7,7
655,BMP7,1,7,7
656,BMP8B,1,7,7
657,BMPR1A,1,13,13
658,BMPR1B,4,17,13
659,BMPR2,1,13,13
660,BMX,3,21,19
661,POLR3D,1,9,9
662,BNIP1,4,7,7
663,BNIP2,8,12,11
664,BNIP3,1,6,6
665,BNIP3L,2,8,6
666,BOK,1,5,5
667,DST,5,103,97
668,FOXL2,1,1,1
669,BPGM,3,6,4
670,BPHL,2,9,8
671,BPI,1,15,15
672,BRCA1,5,27,24
673,BRAF,4,21,20
675,BRCA2,1,27,27
676,BRDT,7,25,20
677,ZFP36L1,3,8,3
678,ZFP36L2,1,2,2
680,BRS3,1,3,3
682,BSG,5,12,9
683,BST1,1,9,9
684,BST2,1,5,5
685,BTC,2,6,6
686,BTD,8,15,6
687,KLF9,1,2,2
688,KLF5,2,6,4
689,BTF3,2,7,6
694,BTG1,1,2,2
695,BTK,3,22,19
696,BTN1A1,1,8,8
699,BUB1,3,28,25
701,BUB1B,1,23,23
705,BYSL,1,7,7
706,TSPO,3,6,4
708,C1QBP,1,6,6
710,SERPING1,2,8,8
712,C1QA,3,4,3
713,C1QB,2,4,4
714,C1QC,4,6,3
715,C1R,2,12,11
716,C1S,3,14,12
717,C2,6,81,18
718,C3,1,41,41
719,C3AR1,3,4,2
720,C4A,2,81,41
721,C4B,1,41,41
722,C4BPA,1,12,12
725,C4BPB,5,9,7
726,CAPN5,1,13,13
727,C5,3,43,41
728,C5AR1,1,2,2
729,C6,2,19,18
730,C7,1,18,18
731,C8A,1,11,11
732,C8B,3,16,13
733,C8G,1,7,7
734,OSGIN2,2,8,6
735,C9,1,11,11
738,VPS51,1,10,10
740,MRPL49,1,4,4
741,ZNHIT2,1,1,1
744,MPPED2,2,9,7
745,MYRF,2,30,27
746,TMEM258,1,4,4
747,DAGLA,1,20,20
752,FMNL1,1,27,27
753,LDLRAD4,6,11,6
754,PTTG1IP,2,8,6
755,CFAP410,4,12,8
757,TMEM50B,1,7,7
758,MPPED1,2,8,7
759,CA1,7,12,9
760,CA2,2,9,7
761,CA3,1,7,7
762,CA4,1,8,8
763,CA5A,2,8,7
765,CA6,4,10,8
766,CA7,3,10,7
767,CA8,4,11,9
768,CA9,1,11,11
770,CA11,1,9,9
771,CA12,3,13,11
773,CACNA1A,5,53,47
774,CACNA1B,2,47,46
775,CACNA1C,23,107,50
776,CACNA1D,3,50,49
777,CACNA1E,3,48,48
778,CACNA1F,3,51,48
779,CACNA1S,1,44,44
780,DDR1,9,86,19
781,CACNA2D1,3,42,39
782,CACNB1,3,16,14
783,CACNB2,10,20,14
784,CACNB3,4,15,13
785,CACNB4,11,19,15
786,CACNG1,1,4,4
788,SLC25A20,1,9,9
790,CAD,2,44,44
793,CALB1,2,11,11
794,CALB2,2,13,11
795,S100G,1,3,3
796,CALCA,3,7,5
797,CALCB,1,5,5
799,CALCR,3,20,16
800,CALD1,5,18,15
801,CALM1,3,9,6
805,CALM2,4,11,7
808,CALM3,7,12,7
810,CALML3,1,1,1
811,CALR,1,9,9
813,CALU,5,11,8
814,CAMK4,5,15,12
815,CAMK2A,5,23,20
816,CAMK2B,9,29,24
817,CAMK2D,33,30,21
818,CAMK2G,41,33,23
819,CAMLG,1,4,4
820,CAMP,1,4,4
821,CANX,11,42,16
822,CAPG,6,16,10
823,CAPN1,3,24,22
824,CAPN2,2,22,21
825,CAPN3,6,27,24
826,CAPNS1,4,14,11
827,CAPN6,1,13,13
828,CAPS,2,6,5
829,CAPZA1,1,10,10
830,CAPZA2,1,10,10
831,CAST,21,37,32
832,CAPZB,5,13,10
833,CARS1,4,24,23
834,CASP1,7,14,10
835,CASP2,3,18,12
836,CASP3,9,12,8
837,CASP4,2,10,10
838,CASP5,4,12,10
839,CASP6,2,7,7
840,CASP7,8,18,8
841,CASP8,7,19,10
842,CASP9,3,11,9
843,CASP10,7,15,10
844,CASQ1,1,11,11
845,CASQ2,1,11,11
846,CASR,2,9,7
847,CAT,1,13,13
857,CAV1,4,6,3
858,CAV2,4,6,3
859,CAV3,2,3,3
860,RUNX2,4,11,9
861,RUNX1,3,11,9
862,RUNX1T1,15,25,15
863,CBFA2T3,2,13,12
864,RUNX3,3,9,7
865,CBFB,6,8,6
866,SERPINA6,1,5,5
867,CBL,1,16,16
868,CBLB,21,27,20
869,CBLN1,1,3,3
871,SERPINH1,2,6,6
873,CBR1,2,4,3
874,CBR3,1,3,3
875,CBS,5,40,18
881,CCIN,1,1,1
883,KYAT1,16,23,15
885,CCK,2,7,5
886,CCKAR,1,5,5
887,CCKBR,3,6,5
889,KRIT1,34,31,20
890,CCNA2,1,8,8
891,CCNB1,3,9,9
892,CCNC,3,15,13
894,CCND2,1,5,5
896,CCND3,6,8,5
898,CCNE1,4,13,12
899,CCNF,2,19,17
900,CCNG1,9,16,8
901,CCNG2,1,8,8
902,CCNH,5,16,9
904,CCNT1,2,9,9
905,CCNT2,4,15,10
908,CCT6A,2,14,14
909,CD1A,2,7,6
910,CD1B,1,6,6
911,CD1C,1,6,6
912,CD1D,5,10,7
913,CD1E,13,11,6
914,CD2,2,6,5
915,CD3D,2,7,5
916,CD3E,1,9,9
917,CD3G,1,7,7
919,CD247,2,10,8
920,CD4,5,14,10
921,CD5,2,13,11
922,CD5L,2,7,6
923,CD6,3,13,13
924,CD7,1,4,4
925,CD8A,3,10,9
926,CD8B,5,10,7
927,CD8B2,2,7,6
928,CD9,2,10,8
929,CD14,4,7,3
930,CD19,2,16,15
931,MS4A1,2,8,8
932,MS4A3,3,15,7
933,CD22,5,19,14
939,CD27,1,6,6
940,CD28,3,5,4
941,CD80,1,7,7
942,CD86,5,11,7
943,TNFRSF8,2,18,15
944,TNFSF8,2,6,5
945,CD33,3,8,7
946,SIGLEC6,6,11,8
947,CD34,2,9,8
948,CD36,15,25,15
949,SCARB1,11,22,13
950,SCARB2,2,12,12
951,CD37,2,10,8
952,CD38,1,8,8
953,ENTPD1,9,19,10
954,ENTPD2,2,10,9
955,ENTPD6,24,26,16
956,ENTPD3,3,13,11
957,ENTPD5,7,23,18
958,CD40,6,14,9
959,CD40LG,1,5,5
960,CD44,8,21,18
961,CD47,2,11,11
962,CD48,2,6,4
963,CD53,3,11,9
965,CD58,2,8,6
966,CD59,8,10,6
967,CD63,8,15,8
968,CD68,2,7,6
969,CD69,1,5,5
970,CD70,2,5,4
971,CD72,1,9,9
972,CD74,5,11,9
973,CD79A,2,6,5
974,CD79B,4,7,6
975,CD81,2,10,8
976,ADGRE5,3,20,20
977,CD151,4,10,9
978,CDA,1,4,4
983,CDK1,5,11,8
984,CDK11B,6,23,21
987,LRBA,4,64,58
988,CDC5L,1,16,16
989,SEPTIN7,4,18,14
990,CDC6,1,12,12
991,CDC20,1,11,11
993,CDC25A,2,15,15
994,CDC25B,10,22,16
995,CDC25C,8,19,14
996,CDC27,9,23,19
997,CDC34,1,5,5
998,CDC42,3,8,7
999,CDH1,4,20,16
1000,CDH2,2,17,16
1001,CDH3,3,19,16
1002,CDH4,3,26,16
1003,CDH5,1,12,12
1004,CDH6,2,13,12
1005,CDH7,4,15,12
1006,CDH8,1,12,12
1007,CDH9,1,12,12
1008,CDH10,4,13,12
1009,CDH11,3,14,14
1010,CDH12,9,22,16
1012,CDH13,6,21,15
1013,CDH15,1,14,14
1014,CDH16,4,22,18
1015,CDH17,2,19,18
1016,CDH18,11,23,16
1017,CDK2,3,7,7
1018,CDK3,1,8,8
1019,CDK4,1,8,8
1020,CDK5,2,12,12
1021,CDK6,2,9,8
1022,CDK7,9,30,13
1024,CDK8,3,16,13
1025,CDK9,1,7,7
1026,CDKN1A,5,10,4
1027,CDKN1B,1,3,3
1028,CDKN1C,5,10,4
1029,CDKN2A,5,7,4
1030,CDKN2B,2,3,2
1031,CDKN2C,2,3,3
1032,CDKN2D,2,4,3
1033,CDKN3,3,11,9
1036,CDO1,4,8,6
1038,CDR1,1,1,1
1039,CDR2,1,5,5
1040,CDS1,1,13,13
1041,CDSN,1,3,3
1043,CD52,1,2,2
1044,CDX1,1,3,3
1045,CDX2,2,5,3
1046,CDX4,1,3,3
1047,CLGN,2,17,16
1048,CEACAM5,3,12,10
1050,CEBPA,4,2,1
1051,CEBPB,3,3,1
1052,CEBPD,1,1,1
1053,CEBPE,1,2,2
1054,CEBPG,2,3,2
1056,CEL,1,11,11
1058,CENPA,2,5,5
1059,CENPB,1,1,1
1060,CENPC,2,20,19
1062,CENPE,2,50,49
1063,CENPF,1,20,20
1066,CES1,3,29,14
1068,CETN1,1,1,1
1069,CETN2,1,5,5
1070,CETN3,3,7,6
1071,CETP,2,16,16
1072,CFL1,1,4,4
1073,CFL2,3,7,4
1075,CTSC,3,10,7
1080,CFTR,1,27,27
1081,CGA,2,5,5
1082,CGB3,1,3,3
1084,CEACAM3,2,9,7
1087,CEACAM7,2,7,5
1088,CEACAM8,1,6,6
1089,CEACAM4,4,15,7
1101,CHAD,1,4,4
1102,RCBTB2,12,19,15
1103,CHAT,7,22,16
1104,RCC1,4,15,12
1105,CHD1,2,38,37
1106,CHD2,2,40,39
1107,CHD3,3,41,40
1108,CHD4,3,44,40
1109,AKR1C4,1,9,9
1111,CHEK1,6,20,14
1112,FOXN3,2,8,7
1113,CHGA,2,8,8
1114,CHGB,1,5,5
1116,CHI3L1,1,10,10
1117,CHI3L2,3,13,11
1118,CHIT1,2,11,11
1119,CHKA,2,13,12
1120,CHKB,1,11,11
1121,CHM,6,20,15
1122,CHML,1,1,1
1123,CHN1,5,18,14
1124,CHN2,14,23,14
1128,CHRM1,1,2,2
1129,CHRM2,8,8,5
1130,LYST,2,55,53
1131,CHRM3,2,9,8
1132,CHRM4,2,3,2
1133,CHRM5,2,3,3
1134,CHRNA1,2,10,10
1135,CHRNA2,6,12,8
1136,CHRNA3,2,7,6
1137,CHRNA4,2,9,6
1138,CHRNA5,2,8,6
1139,CHRNA7,2,20,10
1140,CHRNB1,1,11,11
1141,CHRNB2,1,6,6
1142,CHRNB3,2,9,7
1143,CHRNB4,2,6,6
1144,CHRND,4,15,12
1145,CHRNE,1,12,12
1146,CHRNG,1,12,12
1147,CHUK,2,24,21
1149,CIDEA,2,6,5
1152,CKB,2,9,8
1153,CIRBP,3,10,7
1154,CISH,2,4,4
1155,TBCB,2,8,6
1158,CKM,1,8,8
1159,CKMT1B,1,10,10
1160,CKMT2,3,13,11
1161,ERCC8,4,15,13
1163,CKS1B,1,3,3
1164,CKS2,1,3,3
1173,AP2M1,3,16,13
1174,AP1S1,1,5,5
1175,AP2S1,5,8,5
1176,AP3S1,9,12,7
1178,CLC,1,4,4
1179,CLCA1,1,14,14
1180,CLCN1,1,23,23
1181,CLCN2,4,25,24
1182,CLCN3,4,16,14
1183,CLCN4,2,15,13
1184,CLCN5,5,20,15
1185,CLCN6,2,23,23
1186,CLCN7,2,27,25
1187,CLCNKA,3,21,20
1188,CLCNKB,2,22,20
1191,CLU,1,9,9
1192,CLIC1,3,14,7
1193,CLIC2,1,6,6
1195,CLK1,2,14,13
1196,CLK2,4,27,13
1198,CLK3,2,14,13
1200,TPP1,1,13,13
1201,CLN3,6,22,16
1203,CLN5,2,6,5
1207,CLNS1A,5,9,7
1208,CLPS,3,5,4
1209,CLPTM1,3,17,14
1211,CLTA,10,12,7
1212,CLTB,4,9,6
1213,CLTC,2,33,32
1215,CMA1,2,5,5
1230,CCR1,1,2,2
1232,CCR3,4,7,3
1233,CCR4,1,2,2
1234,CCR5,2,4,3
1235,CCR6,2,4,3
1236,CCR7,5,6,3
1237,CCR8,1,2,2
1238,ACKR2,1,3,3
1240,CMKLR1,4,6,4
1241,LTB4R,2,3,2
1244,ABCC2,1,32,32
1258,CNGB1,3,35,33
1259,CNGA1,2,14,11
1260,CNGA2,1,7,7
1261,CNGA3,2,8,8
1262,CNGA4,1,6,6
1263,PLK3,1,15,15
1264,CNN1,3,11,8
1265,CNN2,4,9,7
1266,CNN3,3,10,7
1267,CNP,2,6,4
1268,CNR1,12,12,5
1269,CNR2,1,2,2
1270,CNTF,1,2,2
1271,CNTFR,3,12,10
1272,CNTN1,4,27,24
1277,COL1A1,1,51,51
1278,COL1A2,1,52,52
1280,COL2A1,2,54,54
1281,COL3A1,1,51,51
1282,COL4A1,2,53,52
1284,COL4A2,1,48,48
1285,COL4A3,1,52,52
1286,COL4A4,1,48,48
1287,COL4A5,2,53,51
1288,COL4A6,5,49,46
1289,COL5A1,2,67,66
1290,COL5A2,1,54,54
1291,COL6A1,1,35,35
1292,COL6A2,3,31,28
1293,COL6A3,5,47,44
1294,COL7A1,1,118,118
1295,COL8A1,2,5,5
1296,COL8A2,2,5,4
1297,COL9A1,2,39,38
1298,COL9A2,1,32,32
1299,COL9A3,1,32,32
1300,COL10A1,1,3,3
1301,COL11A1,4,70,67
1302,COL11A2,4,133,66
1303,COL12A1,2,66,66
1305,COL13A1,16,46,41
1306,COL15A1,1,42,42
1307,COL16A1,1,71,71
1308,COL17A1,1,56,56
1310,COL19A1,1,51,51
1311,COMP,1,19,19
1312,COMT,5,9,6
1314,COPA,2,34,33
1315,COPB1,3,24,22
1316,KLF6,3,6,4
1317,SLC31A1,1,5,5
1318,SLC31A2,1,4,4
1325,CORT,1,2,2
1326,MAP3K8,3,11,9
1327,COX4I1,6,11,5
1329,COX5B,1,4,4
1337,COX6A1,1,3,3
1339,COX6A2,1,3,3
1340,COX6B1,1,4,4
1345,COX6C,1,4,4
1346,COX7A1,1,4,4
1347,COX7A2,3,7,5
1349,COX7B,1,3,3
1350,COX7C,1,3,3
1351,COX8A,1,2,2
1352,COX10,1,7,7
1353,COX11,4,8,4
1355,COX15,10,16,9
1356,CP,1,19,19
1357,CPA1,1,10,10
1358,CPA2,1,11,11
1359,CPA3,1,11,11
1360,CPB1,1,11,11
1361,CPB2,2,13,11
1362,CPD,2,22,21
1363,CPE,1,9,9
1364,CLDN4,1,1,1
1365,CLDN3,1,1,1
1366,CLDN7,3,7,5
1368,CPM,3,11,9
1369,CPN1,1,9,9
1370,CPN2,2,3,2
1371,CPOX,1,7,7
1373,CPS1,4,42,40
1374,CPT1A,2,21,19
1375,CPT1B,6,23,20
1376,CPT2,2,6,5
1378,CR1,2,47,47
1379,CR1L,1,12,12
1380,CR2,2,20,20
1381,CRABP1,1,4,4
1382,CRABP2,2,6,5
1384,CRAT,7,19,15
1385,CREB1,6,13,9
1386,ATF2,6,19,15
1387,CREBBP,2,32,31
1388,ATF6B,2,36,18
1389,CREBL2,1,4,4
1390,CREM,31,29,8
1392,CRH,1,2,2
1393,CRHBP,1,7,7
1394,CRHR1,6,41,14
1395,CRHR2,5,19,14
1396,CRIP1,1,6,6
1397,CRIP2,3,9,8
1398,CRK,2,4,3
1399,CRKL,1,3,3
1400,CRMP1,4,17,14
1401,CRP,3,7,4
1404,HAPLN1,1,5,5
1406,CRX,1,4,4
1407,CRY1,1,13,13
1408,CRY2,2,14,12
1409,CRYAA,2,6,3
1410,CRYAB,6,10,4
1411,CRYBA1,1,6,6
1412,CRYBA2,2,6,5
1413,CRYBA4,1,6,6
1414,CRYBB1,1,6,6
1415,CRYBB2,1,6,6
1417,CRYBB3,1,6,6
1418,CRYGA,1,3,3
1419,CRYGB,1,3,3
1420,CRYGC,1,3,3
1421,CRYGD,1,3,3
1427,CRYGS,1,3,3
1428,CRYM,1,10,10
1429,CRYZ,4,11,10
