EntrezGeneID,GeneSymbol,TranscriptsNumber,UniqueExonsPerGene,MaxExonPerTranscript
11636,Ak1,4,9,7
11637,Ak2,2,8,7
11639,Ak4,4,8,6
11640,Akap1,2,12,11
11641,Akap2,3,6,4
11642,Akap3,1,6,6
11643,Akap4,2,7,6
11647,Alpl,2,13,12
11648,Akp3,1,11,11
11650,Alppl2,1,11,11
11651,Akt1,3,16,14
11652,Akt2,4,17,14
11655,Alas1,2,12,11
11656,Alas2,2,12,11
11657,Alb,1,15,15
11658,Alcam,2,16,16
11666,Abcd1,1,10,10
11668,Aldh1a1,5,18,17
11669,Aldh2,2,14,13
11670,Aldh3a1,3,13,11
11671,Aldh3a2,3,12,11
11674,Aldoa,3,12,10
11676,Aldoc,2,9,9
11677,Akr1b3,1,10,10
11682,Alk,1,29,29
11684,Alox12,2,15,14
11685,Alox12e,1,14,14
11686,Alox12b,1,15,15
11687,Alox15,1,14,14
11688,Alox8,1,14,14
11689,Alox5,1,14,14
11690,Alox5ap,2,6,5
11692,Gfer,1,3,3
11694,Alx3,1,4,4
11695,Alx4,1,4,4
11698,Ambn,2,12,11
11699,Ambp,1,10,10
11702,Amd1,1,8,8
11704,Amelx,3,9,7
11705,Amh,1,5,5
11717,Ampd3,2,16,15
11720,Mat1a,1,10,10
11722,Amy1,2,12,11
11727,Ang,2,3,2
11730,Ang3,1,3,3
11731,Ang2,1,1,1
11732,Ank,1,12,12
11733,Ank1,9,52,45
11735,Ank3,9,45,43
11736,Ankfy1,1,25,25
11737,Anp32a,1,7,7
11739,Slc25a4,1,4,4
11740,Slc25a5,1,4,4
11744,Anxa11,1,15,15
11745,Anxa3,1,13,13
11746,Anxa4,2,14,13
11747,Anxa5,1,13,13
11749,Anxa6,2,26,26
11750,Anxa7,2,14,13
11752,Anxa8,2,13,12
11754,Aoc3,1,4,4
11757,Prdx3,1,7,7
11758,Prdx6,2,6,6
11761,Aox1,1,35,35
11764,Ap1b1,5,24,23
11765,Ap1g1,2,25,24
11766,Ap1g2,2,22,22
11767,Ap1m1,1,12,12
11768,Ap1m2,2,12,11
11769,Ap1s1,1,5,5
11770,Fabp4,1,4,4
11771,Ap2a1,2,24,24
11772,Ap2a2,2,23,22
11773,Ap2m1,2,13,11
11774,Ap3b1,1,27,27
11775,Ap3b2,1,26,26
11776,Ap3d1,1,31,31
11777,Ap3s1,2,8,7
11778,Ap3s2,1,6,6
11781,Ap4m1,1,15,15
11782,Ap4s1,3,9,6
11783,Apaf1,3,29,27
11784,Apba2,3,16,15
11785,Apbb1,5,21,14
11787,Apbb2,6,23,18
11789,Apc,3,20,17
11790,Speg,4,49,41
11792,Apex1,1,5,5
11793,Atg5,3,12,8
11796,Birc3,1,9,9
11797,Birc2,2,9,8
11798,Xiap,3,10,8
11799,Birc5,2,5,4
11800,Api5,3,16,14
11801,Cd5l,1,6,6
11803,Aplp1,1,17,17
11804,Aplp2,4,18,18
11806,Apoa1,1,4,4
11807,Apoa2,4,5,4
11808,Apoa4,1,3,3
11810,Apobec1,2,9,8
11811,Apobec2,1,3,3
11812,Apoc1,2,5,4
11813,Apoc2,2,6,5
11814,Apoc3,4,6,4
11815,Apod,3,7,6
11816,Apoe,4,7,5
11818,Apoh,1,8,8
11819,Nr2f2,2,4,3
11820,App,5,18,18
11821,Aprt,1,5,5
11826,Aqp1,1,4,4
11827,Aqp2,1,4,4
11828,Aqp3,1,6,6
11829,Aqp4,9,10,8
11830,Aqp5,1,4,4
11831,Aqp6,1,5,5
11832,Aqp7,1,8,8
11833,Aqp8,2,7,6
11834,Aqr,2,36,35
11835,Ar,1,8,8
11836,Araf,2,17,16
11837,Rplp0,1,7,7
11838,Arc,2,4,3
11839,Areg,1,6,6
11840,Arf1,2,6,5
11841,Arf2,2,6,5
11842,Arf3,2,7,5
11843,Arf4,1,6,6
11844,Arf5,1,6,6
11845,Arf6,1,2,2
11846,Arg1,1,8,8
11847,Arg2,1,8,8
11848,Rhoa,3,8,6
11852,Rhob,1,1,1
11853,Rhoc,2,6,5
11854,Rhod,2,6,5
11855,Arhgap5,1,6,6
11856,Arhgap6,3,15,13
11857,Arhgdib,6,9,6
11858,Rnd2,1,5,5
11859,Phox2a,1,3,3
11861,Arl4a,2,3,2
11863,Arnt,2,22,22
11864,Arnt2,1,19,19
11865,Arntl,4,23,21
11867,Arpc1b,1,10,10
11870,Art1,1,5,5
11871,Art2a,1,3,3
11872,Art2b,1,3,3
11875,Art5,2,6,5
11876,Artn,4,10,6
11877,Arvcf,6,21,19
11878,Arx,2,6,6
11881,Arsb,1,8,8
11883,Arsa,1,9,9
11886,Asah1,1,14,14
11889,Asgr1,3,10,9
11890,Asgr2,4,11,9
11891,Rab27a,3,8,7
11898,Ass1,1,16,16
11899,Astn1,2,24,23
11905,Serpinc1,1,8,8
11906,Zfhx3,1,10,10
11907,Ate1,4,14,12
11908,Atf1,1,7,7
11909,Atf2,9,18,15
11910,Atf3,1,4,4
11911,Atf4,2,5,4
11920,Atm,1,63,63
11921,Atoh1,1,1,1
11922,Neurod6,1,2,2
11923,Neurod4,3,4,2
11924,Neurog2,1,2,2
11925,Neurog3,1,2,2
11927,Atox1,1,4,4
11928,Atp1a1,1,23,23
11931,Atp1b1,1,6,6
11932,Atp1b2,1,7,7
11933,Atp1b3,3,9,8
11936,Fxyd2,2,7,6
11937,Atp2a1,1,23,23
11938,Atp2a2,2,22,21
11941,Atp2b2,3,27,24
11944,Atp4a,2,23,22
11945,Atp4b,1,7,7
11946,Atp5a1,1,12,12
11947,Atp5b,1,10,10
11949,Atp5c1,2,11,10
11950,Atp5f1,2,10,10
11951,Atp5g1,2,6,5
11957,Atp5j,7,11,6
11958,Atp5k,1,4,4
11964,Atp6v1a,3,17,15
11966,Atp6v1b2,1,14,14
11972,Atp6v0d1,1,8,8
11973,Atp6v1e1,1,9,9
11974,Atp6v0e,1,4,4
11975,Atp6v0a1,10,29,23
11977,Atp7a,2,24,23
11979,Atp7b,1,21,21
11980,Atp8a1,3,38,37
11981,Atp9a,5,32,28
11982,Atp10a,1,21,21
11983,Atpif1,1,4,4
11984,Atp6v0c,6,8,4
11987,Slc7a1,2,14,13
11988,Slc7a2,2,13,12
11989,Slc7a3,2,13,13
11990,Atrn,1,29,29
11991,Hnrnpd,4,9,9
11992,Auh,1,10,10
11993,Aup1,2,14,12
11994,Pcdh15,14,42,36
11997,Akr1b7,1,10,10
11998,Avp,1,3,3
12000,Avpr2,3,6,3
12005,Axin1,2,11,11
12006,Axin2,1,11,11
12007,Azgp1,1,4,4
12009,Cep131,1,26,26
12010,B2m,1,4,4
12012,Baat,1,4,4
12013,Bach1,1,5,5
12014,Bach2,1,5,5
12015,Bad,2,6,4
12017,Bag1,2,7,7
12018,Bak1,1,6,6
12020,Nkx3-2,1,2,2
12021,Bard1,1,11,11
12022,Barx1,1,4,4
12023,Barx2,1,4,4
12028,Bax,1,6,6
12029,Bcl6b,1,9,9
12032,Bcan,2,15,14
12033,Bcap29,2,9,8
12034,Phb2,1,9,9
12035,Bcat1,2,12,11
12036,Bcat2,2,13,11
12038,Bche,1,4,4
12039,Bckdha,1,9,9
12040,Bckdhb,2,13,11
12041,Bckdk,1,12,12
12042,Bcl10,1,3,3
12043,Bcl2,2,3,2
12044,Bcl2a1a,1,2,2
12045,Bcl2a1b,1,2,2
12046,Bcl2a1c,1,1,1
12047,Bcl2a1d,1,2,2
12048,Bcl2l1,5,9,5
12049,Bcl2l10,1,2,2
12050,Bcl2l2,1,4,4
12051,Bcl3,1,9,9
12053,Bcl6,2,11,10
12054,Bcl7b,1,6,6
12055,Bcl7c,2,7,6
12057,Opn1sw,1,5,5
12061,Bdkrb1,1,1,1
12062,Bdkrb2,1,3,3
12064,Bdnf,12,13,3
12068,Bet1,1,4,4
12069,Bex2,1,3,3
12070,Bex3,3,4,3
12075,Bfsp1,2,9,8
12091,Glb1,1,16,16
12095,Bglap3,4,10,7
12096,Bglap,1,4,4
12097,Bglap2,1,4,4
12111,Bgn,1,8,8
12116,Bhmt,1,8,8
12121,Bicd1,2,10,9
12122,Bid,1,6,6
12123,Hrk,1,2,2
12124,Bik,1,5,5
12125,Bcl2l11,5,9,5
12140,Fabp7,1,4,4
12142,Prdm1,1,7,7
12143,Blk,1,13,13
12144,Blm,2,23,22
12145,Cxcr5,1,2,2
12151,Bmi1,1,10,10
12153,Bmp1,2,22,21
12154,Bmp10,1,2,2
12155,Bmp15,1,2,2
12156,Bmp2,1,3,3
12159,Bmp4,2,4,4
12160,Bmp5,1,7,7
12161,Bmp6,1,7,7
12162,Bmp7,1,7,7
12163,Bmp8a,2,8,7
12164,Bmp8b,1,7,7
12165,Gdf2,1,2,2
12166,Bmpr1a,1,13,13
12167,Bmpr1b,6,18,12
12168,Bmpr2,1,13,13
12169,Bmx,1,19,19
12173,Bnc1,1,5,5
12175,Bnip2,2,11,11
12176,Bnip3,1,6,6
12177,Bnip3l,1,6,6
12180,Smyd1,2,10,10
12181,Bop1,1,16,16
12182,Bst1,1,9,9
12183,Bpgm,4,7,3
12189,Brca1,1,23,23
12190,Brca2,2,28,27
12192,Zfp36l1,1,2,2
12193,Zfp36l2,1,2,2
12209,Brs3,1,3,3
12211,Birc6,1,73,73
12212,Chic1,1,6,6
12215,Bsg,2,8,8
12217,Bsn,1,12,12
12223,Btc,1,6,6
12224,Klf5,1,4,4
12226,Btg1,1,2,2
12227,Btg2,1,2,2
12228,Btg3,2,6,5
12229,Btk,1,19,19
12231,Btn1a1,1,8,8
12234,Btrc,9,21,17
12235,Bub1,2,26,25
12236,Bub1b,1,23,23
12237,Bub3,2,9,8
12238,Commd3,1,8,8
12257,Tspo,1,4,4
12258,Serping1,1,8,8
12259,C1qa,1,3,3
12260,C1qb,1,3,3
12261,C1qbp,1,6,6
12262,C1qc,1,3,3
12263,C2,1,18,18
12265,Ciita,5,25,20
12266,C3,1,41,41
12267,C3ar1,1,2,2
12268,C4b,1,41,41
12269,C4bp,1,10,10
12273,C5ar1,2,5,3
12274,C6,1,16,16
12279,C9,3,15,12
12282,Hyou1,1,26,26
12283,Cab39,3,11,10
12286,Cacna1a,4,51,48
12287,Cacna1b,2,50,47
12288,Cacna1c,11,57,48
12289,Cacna1d,3,50,49
12290,Cacna1e,1,47,47
12291,Cacna1g,4,38,36
12292,Cacna1s,2,46,44
12293,Cacna2d1,5,41,39
12294,Cacna2d3,1,38,38
12295,Cacnb1,6,18,14
12296,Cacnb2,3,16,14
12297,Cacnb3,4,15,13
12298,Cacnb4,6,18,14
12299,Cacng1,1,4,4
12300,Cacng2,1,4,4
12301,Cacybp,1,6,6
12304,Pdia4,2,11,11
12305,Ddr1,4,21,19
12306,Anxa2,1,13,13
12307,Calb1,1,11,11
12308,Calb2,3,12,11
12309,S100g,1,3,3
12310,Calca,4,7,5
12311,Calcr,3,18,16
12313,Calm1,2,7,6
12314,Calm2,2,6,6
12315,Calm3,1,6,6
12316,Aspm,1,28,28
12317,Calr,1,9,9
12319,Car8,1,9,9
12321,Calu,3,10,7
12322,Camk2a,3,20,18
12323,Camk2b,3,24,21
12325,Camk2g,4,22,21
12326,Camk4,1,11,11
12328,Caml,1,4,4
12330,Canx,3,17,15
12331,Cap1,4,15,13
12332,Capg,4,14,11
12333,Capn1,2,23,22
12334,Capn2,1,21,21
12335,Capn3,3,25,24
12336,Capns1,1,11,11
12337,Capn5,2,14,13
12338,Capn6,1,13,13
12339,Capn7,2,23,21
12340,Capza1,2,10,10
12343,Capza2,1,10,10
12344,Capza3,1,1,1
12345,Capzb,3,12,10
12346,Car1,2,9,8
12348,Car11,2,9,9
12349,Car2,2,8,8
12350,Car3,1,7,7
12351,Car4,1,8,8
12352,Car5a,1,7,7
12353,Car6,1,8,8
12354,Car7,3,10,7
12355,Nr1i3,3,11,9
12359,Cat,1,13,13
12361,Cask,4,28,27
12362,Casp1,1,10,10
12363,Casp4,1,9,9
12364,Casp12,1,11,11
12365,Casp14,1,7,7
12366,Casp2,1,11,11
12367,Casp3,2,8,7
12368,Casp6,1,7,7
12369,Casp7,1,7,7
12370,Casp8,3,12,10
12371,Casp9,3,11,9
12372,Casq1,1,11,11
12373,Casq2,2,12,12
12374,Casr,1,7,7
12380,Cast,8,37,32
12385,Ctnna1,1,18,18
12386,Ctnna2,4,20,20
12387,Ctnnb1,2,16,15
12388,Ctnnd1,9,23,20
12389,Cav1,2,4,3
12390,Cav2,2,4,3
12391,Cav3,1,2,2
12393,Runx2,6,13,9
12394,Runx1,4,9,8
12395,Runx1t1,3,14,12
12396,Cbfa2t2,3,15,11
12398,Cbfa2t3,3,13,12
12399,Runx3,2,7,6
12400,Cbfb,4,8,6
12401,Serpina6,1,5,5
12402,Cbl,1,16,16
12404,Cbln1,1,3,3
12405,Cbln2,6,8,5
12406,Serpinh1,4,8,6
12408,Cbr1,1,3,3
12409,Cbr2,1,8,8
12411,Cbs,3,18,17
12412,Cbx1,5,8,6
12416,Cbx2,1,5,5
12417,Cbx3,2,7,6
12418,Cbx4,1,5,5
12419,Cbx5,4,8,6
12421,Rb1cc1,1,24,24
12424,Cck,2,4,4
12425,Cckar,2,6,5
12426,Cckbr,1,5,5
12427,Ccna1,2,11,9
12428,Ccna2,1,9,9
12442,Ccnb2,1,9,9
12443,Ccnd1,1,5,5
12444,Ccnd2,1,5,5
12445,Ccnd3,3,7,7
12447,Ccne1,1,12,12
12448,Ccne2,3,14,12
12449,Ccnf,1,17,17
12450,Ccng1,1,6,6
12452,Ccng2,1,8,8
12453,Ccni,1,7,7
12454,Ccnk,1,12,12
12455,Ccnt1,2,10,9
12457,Noct,1,3,3
12458,Ccr6,7,9,6
12460,Ccs,1,8,8
12461,Cct2,2,17,16
12462,Cct3,1,14,14
12464,Cct4,1,14,14
12465,Cct5,2,12,11
12466,Cct6a,1,13,13
12467,Cct6b,2,15,14
12468,Cct7,1,12,12
12469,Cct8,1,15,15
12475,Cd14,1,2,2
12476,Cd151,3,10,8
12477,Ctla4,2,5,4
12478,Cd19,2,16,15
12479,Cd1d1,1,6,6
12480,Cd1d2,2,8,7
12481,Cd2,1,5,5
12482,Ms4a1,1,7,7
12483,Cd22,2,17,16
12484,Cd24a,1,2,2
12487,Cd28,1,4,4
12488,Cd2ap,1,18,18
12489,Cd33,2,7,7
12490,Cd34,2,9,8
12491,Cd36,5,19,16
12492,Scarb2,1,12,12
12493,Cd37,3,10,9
12494,Cd38,1,8,8
12495,Entpd1,2,11,10
12496,Entpd2,1,9,9
12497,Entpd6,5,17,14
12499,Entpd5,4,17,16
12500,Cd3d,1,5,5
12501,Cd3e,1,8,8
12502,Cd3g,1,7,7
12503,Cd247,4,13,9
12504,Cd4,1,10,10
12505,Cd44,6,19,19
12506,Cd48,2,4,4
12507,Cd5,1,11,11
12508,Cd53,1,8,8
12509,Cd59a,2,5,5
12511,Cd6,2,13,13
12512,Cd63,3,10,8
12514,Cd68,1,6,6
12515,Cd69,1,5,5
12516,Cd7,1,4,4
12517,Cd72,4,10,9
12518,Cd79a,1,5,5
12519,Cd80,2,6,6
12520,Cd81,1,8,8
12521,Cd82,7,14,11
12522,Cd83,2,8,5
12523,Cd84,3,11,9
12524,Cd86,1,8,8
12525,Cd8a,2,6,5
12526,Cd8b1,1,6,6
12527,Cd9,1,8,8
12530,Cdc25a,1,15,15
12531,Cdc25b,2,17,16
12532,Cdc25c,1,15,15
12534,Cdk1,1,8,8
12537,Cdk11b,5,27,22
12539,Cdc37,1,8,8
12540,Cdc42,2,7,6
12544,Cdc45,3,21,20
12545,Cdc7,4,14,12
12549,Arhgap31,1,12,12
12550,Cdh1,1,16,16
12552,Cdh11,1,13,13
12554,Cdh13,1,14,14
12555,Cdh15,1,14,14
12556,Cdh16,3,19,18
12557,Cdh17,1,18,18
12558,Cdh2,1,16,16
12560,Cdh3,2,17,16
12561,Cdh4,2,17,16
12562,Cdh5,1,12,12
12563,Cdh6,1,12,12
12564,Cdh8,4,16,13
12565,Cdh9,1,12,12
12566,Cdk2,2,8,8
12567,Cdk4,2,9,8
12568,Cdk5,1,12,12
12569,Cdk5r1,1,1,1
12570,Cdk5r2,1,1,1
12571,Cdk6,1,8,8
12572,Cdk7,1,12,12
12575,Cdkn1a,2,4,3
12576,Cdkn1b,1,3,3
12577,Cdkn1c,3,6,4
12578,Cdkn2a,2,4,3
12579,Cdkn2b,1,2,2
12580,Cdkn2c,2,4,3
12581,Cdkn2d,1,2,2
12583,Cdo1,1,5,5
12585,Cdr2,2,7,5
12587,Mia,1,4,4
12589,Ift81,4,21,19
12590,Cdx1,1,3,3
12591,Cdx2,1,3,3
12592,Cdx4,1,3,3
12593,Cdyl,2,11,10
12606,Cebpa,5,5,1
12607,Cebpz,1,16,16
12608,Cebpb,3,3,1
12609,Cebpd,1,1,1
12611,Cebpg,1,2,2
12613,Cel,1,11,11
12614,Celsr1,1,35,35
12615,Cenpa,5,9,7
12616,Cenpb,1,1,1
12617,Cenpc1,4,21,20
12622,Cer1,1,2,2
12623,Ces1g,1,14,14
12626,Cetn3,1,5,5
12627,Cfc1,1,6,6
12628,Cfh,1,22,22
12630,Cfi,2,15,14
12631,Cfl1,1,4,4
12632,Cfl2,1,4,4
12633,Cflar,6,16,10
12638,Cftr,1,27,27
12640,Cga,1,4,4
12642,Ch25h,1,1,1
12643,Chad,1,4,4
12647,Chat,1,16,16
12648,Chd1,1,36,36
12649,Chek1,1,13,13
12651,Chkb,1,11,11
12652,Chga,1,8,8
12653,Chgb,1,5,5
12654,Chil1,1,10,10
12655,Chil3,1,11,11
12659,Ovgp1,1,11,11
12660,Chka,2,12,12
12661,Chl1,1,27,27
12662,Chm,1,15,15
12663,Chml,1,1,1
12667,Chrd,4,29,24
12669,Chrm1,2,3,3
12671,Chrm3,1,5,5
12672,Chrm4,1,2,2
12675,Chuk,2,22,21
12677,Vsx2,2,6,5
12683,Cidea,1,5,5
12684,Cideb,1,5,5
12686,Elovl3,1,4,4
12695,Patj,5,49,44
12696,Cirbp,1,7,7
12700,Cish,2,5,3
12702,Socs3,1,2,2
12703,Socs1,2,3,2
12704,Cit,1,47,47
12705,Cited1,4,6,3
12709,Ckb,1,8,8
12715,Ckm,1,8,8
12716,Ckmt1,2,10,10
12721,Coro1a,2,12,11
12722,Clca3a1,1,14,14
12723,Clcn1,2,26,24
12724,Clcn2,1,24,24
12725,Clcn3,4,15,14
12727,Clcn4,6,17,14
12728,Clcn5,2,15,14
12729,Clns1a,1,7,7
12733,Clcnka,2,21,20
12737,Cldn1,1,4,4
12738,Cldn2,1,2,2
12739,Cldn3,1,1,1
12740,Cldn4,1,1,1
12741,Cldn5,1,1,1
12745,Clgn,3,18,15
12747,Clk1,1,13,13
12748,Clk2,2,14,13
12750,Clk4,8,19,16
12751,Tpp1,1,13,13
12752,Cln3,3,19,18
12753,Clock,3,25,23
12757,Clta,9,10,7
12759,Clu,1,9,9
12763,Cmah,4,19,18
12764,Cmas,1,8,8
12765,Cxcr2,1,2,2
12766,Cxcr3,1,2,2
12767,Cxcr4,2,3,2
12768,Ccr1,1,2,2
12769,Ccr9,2,4,4
12770,Ccr1l1,1,1,1
12771,Ccr3,1,2,2
12772,Ccr2,1,3,3
12773,Ccr4,1,2,2
12774,Ccr5,1,2,2
12775,Ccr7,2,3,3
12776,Ccr8,1,2,2
12777,Ccr10,1,2,2
12778,Ackr3,2,3,3
12780,Abcc2,1,32,32
12785,Cnbp,5,8,5
12788,Cnga1,1,9,9
12789,Cnga2,1,7,7
12790,Cnga3,2,9,8
12793,Cnih1,2,6,6
12794,Cnih2,2,7,6
12795,Plk3,2,16,15
12796,Camp,1,4,4
12797,Cnn1,1,7,7
12798,Cnn2,1,7,7
12799,Cnp,2,5,4
12801,Cnr1,4,8,6
12802,Cnr2,2,3,2
12803,Cntf,1,2,2
12804,Cntfr,2,11,10
12805,Cntn1,4,28,26
12807,Hps3,3,19,17
12808,Cobl,3,16,15
12810,Coch,2,12,12
12812,Coil,1,7,7
12813,Col10a1,1,3,3
12814,Col11a1,1,67,67
12815,Col11a2,2,66,65
12816,Col12a1,1,66,66
12817,Col13a1,2,41,41
12818,Col14a1,2,49,48
12819,Col15a1,1,40,40
12821,Col17a1,2,54,54
12822,Col18a1,2,43,42
12823,Col19a1,1,51,51
12824,Col2a1,2,54,54
12825,Col3a1,1,51,51
12826,Col4a1,1,52,52
12827,Col4a2,1,48,48
12828,Col4a3,1,52,52
12829,Col4a4,1,48,48
12830,Col4a5,2,52,52
12831,Col5a1,1,66,66
12832,Col5a2,1,54,54
12833,Col6a1,1,35,35
12834,Col6a2,2,30,28
12835,Col6a3,2,44,44
12836,Col7a1,1,118,118
12837,Col8a1,1,4,4
12839,Col9a1,2,39,38
12840,Col9a2,1,32,32
12841,Col9a3,1,32,32
12842,Col1a1,1,51,51
12843,Col1a2,1,52,52
12845,Comp,1,19,19
12846,Comt,3,7,6
12847,Copa,1,33,33
12848,Cops2,4,16,13
12850,Coq7,2,8,7
12854,Cort,1,2,2
12856,Cox17,1,3,3
12857,Cox4i1,2,7,5
12858,Cox5a,1,5,5
12859,Cox5b,1,4,4
12861,Cox6a1,1,3,3
12862,Cox6a2,1,3,3
12864,Cox6c,1,4,4
12865,Cox7a1,1,4,4
12866,Cox7a2,1,4,4
12867,Cox7c,1,3,3
12868,Cox8a,1,2,2
12869,Cox8b,1,2,2
12870,Cp,3,23,20
12873,Cpa3,1,11,11
12874,Cpd,1,21,21
12876,Cpe,1,9,9
12877,Cpeb1,4,15,12
12879,Cys1,3,7,5
12889,Cplx1,1,4,4
12890,Cplx2,2,6,5
12891,Cpne6,4,19,17
12892,Cpox,1,7,7
12894,Cpt1a,1,19,19
12895,Cpt1b,1,19,19
12896,Cpt2,1,5,5
12902,Cr2,2,27,26
12903,Crabp1,2,4,4
12904,Crabp2,1,4,4
12905,Cradd,4,6,3
12908,Crat,1,14,14
12909,Crcp,1,6,6
12912,Creb1,3,10,9
12913,Creb3,1,9,9
12914,Crebbp,1,31,31
12915,Atf6b,1,18,18
12916,Crem,17,16,9
12918,Crh,1,2,2
12919,Crhbp,1,7,7
12921,Crhr1,3,16,14
12922,Crhr2,4,15,13
12925,Crip1,1,5,5
12927,Bcar1,2,8,7
12928,Crk,3,5,3
12929,Crkl,2,4,3
12931,Crlf1,1,9,9
12933,Crmp1,2,15,14
12934,Dpysl2,1,14,14
12936,Pcdha4,1,4,4
12937,Pcdha6,1,4,4
12939,Pcdha7,1,4,4
12941,Pcdha5,1,4,4
12942,Pcdha11,1,4,4
12943,Pcdha10,1,4,4
12944,Crp,1,2,2
12945,Dmbt1,2,48,48
12946,Cr1l,3,12,10
12950,Hapln1,1,5,5
12951,Crx,2,5,4
12952,Cry1,1,13,13
12953,Cry2,1,12,12
12954,Cryaa,3,5,4
12955,Cryab,4,6,4
12957,Cryba1,2,6,6
12958,Cryba2,1,5,5
12959,Cryba4,2,6,6
12960,Crybb1,4,8,6
12961,Crybb2,1,7,7
12962,Crybb3,8,11,7
12964,Cryga,1,3,3
12965,Crygb,1,3,3
12966,Crygc,2,4,3
12967,Crygd,1,3,3
12968,Cryge,1,3,3
12969,Crygf,2,4,3
12970,Crygs,1,3,3
12971,Crym,1,8,8
12972,Cryz,6,13,9
12974,Cs,1,11,11
12977,Csf1,3,11,9
12978,Csf1r,1,22,22
12981,Csf2,1,4,4
12982,Csf2ra,1,12,12
12983,Csf2rb,2,16,15
12984,Csf2rb2,2,14,14
12985,Csf3,1,5,5
12986,Csf3r,2,17,17
12988,Csk,2,16,15
12990,Csn1s1,3,35,34
12991,Csn2,6,11,9
12992,Csn1s2b,3,13,12
12993,Csn1s2a,5,15,14
